trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 3.319998 -3.5 0.55 0 0.01105117 0.01028046 0.01580559 0.01773544 0.01633285 1000 -0.01497799 -0.0231354 -0.01812913 -0.01463471 -0.01687784 1000
2 0.4 3.5 0.65 0 0.006898772 0.008023759 0.01064317 0.01087936 0.01026408 1000 -0.00445885 -0.006762167 -0.007354269 -0.006872178 -0.006892458 1000
3 0.6 -3.5 0.65 0 -0.008516208 -0.0123886 -0.01284963 -0.01070206 -0.01098226 1000 -0.003552184 -0.004520901 -0.005164925 -0.004967336 -0.006355318 1000
4 0.4 4.5 0.45 0 0.005669511 0.005561466 0.005661744 0.006225783 0.006045259 1000 -0.007692744 -0.007538078 -0.007044945 -0.006996913 -0.006260416 1000
5 0.38 4.5 0.55 0 0.00813507 0.008204069 0.008892669 0.009071276 0.009359251 1000 -0.00786648 -0.008223143 -0.008596027 -0.007960198 -0.00812399 1000
6 0.6199999 -4.5 0.65 0 0.01091496 0.01111964 0.01110363 0.01147885 0.01131532 1000 -0.008507997 -0.008383508 -0.008283578 -0.008655888 -0.008318669 1000
7 0.4600001 2.5 0.45 0 0.01224764 0.01211868 0.01203204 0.01261069 0.01250956 1000 -0.007241035 -0.006871101 -0.006814871 -0.00695089 -0.00656389 1000
8 0.36 -2.5 0.65 0 0.01284412 0.01299699 0.01326669 0.01299723 0.01282809 1000 -0.008534751 -0.008743209 -0.008900821 -0.008687329 -0.008786961 1000
9 0.42 -2.5 0.45 0 0.01356108 0.01423888 0.01409593 0.01343903 0.0133294 1000 -0.007442569 -0.007810717 -0.008034491 -0.007842284 -0.008202428 1000
10 0.4600001 3.5 0.45 0 0.01465319 0.01432448 0.01486358 0.01484057 0.01489885 1000 -0.007713713 -0.007961154 -0.007666192 -0.007161014 -0.007428153 1000
11 0.54 -4.5 0.55 0 0.0160727 0.01618213 0.01631995 0.01651942 0.01631553 1000 -0.008577375 -0.00811728 -0.008502895 -0.008445448 -0.008307084 1000
12 0.32 -4.5 0.45 0 0.0175388 0.01752092 0.01760979 0.01748185 0.01809155 1000 -0.008013626 -0.008165308 -0.00840281 -0.0080916 -0.008229673 1000
13 0.7399998 4.5 0.65 0 0.01852571 0.01867709 0.01873537 0.01903875 0.01880628 1000 -0.009037405 -0.008885736 -0.008556223 -0.008701223 -0.008614114 1000
14 0.28 3.5 0.55 0 0.0193228 0.02035855 0.02024008 0.02031399 0.02055169 1000 -0.009007577 -0.008836788 -0.008842184 -0.009171875 -0.0089655 1000
15 0.38 -3.5 0.45 0 0.02062732 0.02062239 0.02069459 0.02075795 0.02050874 1000 -0.008940945 -0.008929917 -0.009394632 -0.009212969 -0.008841412 1000
16 0.38 -2.5 0.55 0 0.02189258 0.02199454 0.02225598 0.02228047 0.02238099 1000 -0.009765313 -0.009481753 -0.009725268 -0.009422202 -0.009256246 1000
17 0.56 2.5 0.55 0 0.02319052 0.0232623 0.02394034 0.02417868 0.02417823 1000 -0.009217467 -0.009347709 -0.009718678 -0.008815366 -0.008743612 1000
18 0.6399999 2.5 0.65 0 0.01915539 0.01542457 0.01475041 0.01626967 0.01770542 1000 -0.01040066 -0.01120419 -0.01058382 -0.01095192 -0.01010765 1000
