trial Response Correct Target ReactionTime
1 1 1 1 9.140019
2 1 1 1 3.839997
3 2 1 2 0.9199997
4 1 1 1 2.239999
5 1 1 1 2.739998
6 2 1 2 1.06
7 1 1 1 4.639997
8 2 1 2 0.7599998
9 2 1 2 0.6
10 1 1 1 3.079998
11 2 1 2 0.6999999
12 2 1 2 0.6399999
13 2 1 2 0.6199999
14 2 1 2 0.9399996
15 1 1 1 1.939999
16 2 1 2 0.7999998
17 1 1 1 3.879997
18 1 1 1 2.539998
19 1 1 1 3.219998
20 2 1 2 0.7799998
20 2 1 2 0.7799998
