subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 6 0.6 1 first 4 1 66 6 6.36 0.01999831199646 -1 0 1 1
lala 4 1.2 0 first 2 1 67 5 4.5 0.01999831199646 -1 0 -1 0
lala 2 1.2 1 first 5 1 68 6 6.780001 0.01999831199646 -1 1 1 1
lala 3 1.2 0 first 5 1 69 6 5.580001 0.01999831199646 -1 1 -1 0
lala 6 0.3 1 second 6 1 70 4 4.14 0.01999831199646 1 0 1 0
lala 7 0.15 0 first 14 1 71 5 4.95 0.01999831199646 0 0 -1 1
lala 4 1.2 1 second 7 1 72 4 4.12 0.01999831199646 1 1 1 0
lala 8 0.15 1 second 14 1 73 5 5.1 0.01999831199646 0 0 1 1
lala 9 0.075 1 first 14 1 74 5 5.025 0.01999831199646 0 0 1 0
lala 4 1.2 1 first 11 1 75 6 6.780001 0.01999831199646 1 1 1 1
lala 4 1.2 0 second 0 1 76 4 3.84 0.01999831199646 -1 0 -1 0
lala 3 1.2 0 first 17 1 77 6 5.580001 0.01999831199646 0 1 -1 1
lala 10 0.075 0 second 14 1 78 5 4.95 0.01999831199646 0 0 -1 1
lala 7 0.3 0 first 6 1 79 4 3.84 0.01999831199646 1 0 -1 0
lala 4 1.2 1 first 17 1 80 6 6.780001 0.01999831199646 0 1 1 1
lala 8 0.15 0 second 6 1 81 4 3.99 0.01999831199646 1 0 -1 0
lala 4 1.2 1 first 5 1 82 6 6.780001 0.01999831199646 -1 1 1 0
lala 5 0.6 0 first 13 1 83 4 3.52 0.01999831199646 0 1 -1 0
lala 5 0.6 1 second 11 1 84 6 6.180001 0.01999831199646 1 1 1 0
lala 6 0.3 0 second 8 1 85 5 4.8 0.01999831199646 1 0 -1 0
lala 6 0.3 0 first 13 1 86 4 3.82 0.01999831199646 0 1 -1 1
lala 3 1.2 0 first 9 1 87 5 4.25 0.01999831199646 1 1 -1 1
lala 7 0.3 1 first 13 1 88 4 4.12 0.01999831199646 0 1 1 1
lala 9 0.15 1 second 6 1 89 4 4.14 0.01999831199646 1 0 1 1
lala 10 0.075 0 second 15 1 90 5 5 0.01999831199646 0 1 -1 1
lala 5 0.6 1 second 0 1 91 4 4.44 0.01999831199646 -1 0 1 0
lala 5 0.6 1 second 17 1 92 6 6.180001 0.01999831199646 0 1 1 0
lala 11 0.0375 0 second 14 1 93 5 4.9875 0.01999831199646 0 0 -1 0
lala 4 1.2 1 first 9 1 94 5 5.45 0.01999831199646 1 1 1 1
lala 7 0.15 0 first 8 1 95 5 4.95 0.01999831199646 1 0 -1 0
lala 12 0.0375 1 first 14 1 96 5 5.025 0.01999831199646 0 0 1 1
lala 11 0.075 1 first 15 1 97 5 5.074999 0.01999831199646 0 1 1 0
lala 7 0.3 1 second 4 1 98 6 6.059999 0.01999831199646 -1 0 1 1
lala 6 0.3 1 second 0 1 99 4 4.14 0.01999831199646 -1 0 1 0
lala 5 0.6 1 first 2 1 100 5 5.1 0.01999831199646 -1 0 1 1
lala 5 0.6 1 first 12 1 101 4 4.44 0.01999831199646 0 0 1 0
lala 8 0.15 1 second 8 1 102 5 5.1 0.01999831199646 1 0 1 0
lala 5 0.6 0 second 9 1 103 5 4.85 0.01999831199646 1 1 -1 0
lala 7 0.3 0 second 0 1 104 4 3.84 0.01999831199646 -1 0 -1 0
lala 10 0.075 1 second 6 1 105 4 4.065 0.01999831199646 1 0 1 1
lala 5 0.6 0 first 10 1 106 6 5.76 0.01999831199646 1 0 -1 1
lala 5 0.6 0 second 7 1 107 4 3.52 0.01999831199646 1 1 -1 0
lala 6 0.6 0 second 11 1 108 6 5.580001 0.01999831199646 1 1 -1 0
lala 6 0.3 0 first 2 1 109 5 4.8 0.01999831199646 -1 0 -1 1
lala 8 0.3 0 first 4 1 110 6 5.759999 0.01999831199646 -1 0 -1 0
lala 13 0.01875 1 first 14 1 111 5 5.00625 0.01999831199646 0 0 1 0
lala 5 0.6 1 second 5 1 112 6 6.180001 0.01999831199646 -1 1 1 0
lala 6 0.3 1 first 9 1 113 5 5.15 0.01999831199646 1 1 1 1
lala 6 0.3 1 first 12 1 114 4 4.14 0.01999831199646 0 0 1 1
lala 7 0.15 1 first 9 1 115 5 5 0.01999831199646 1 1 1 1
lala 6 0.6 0 first 17 1 116 6 5.580001 0.01999831199646 0 1 -1 0
lala 8 0.15 0 second 0 1 117 4 3.99 0.01999831199646 -1 0 -1 0
lala 6 0.6 0 second 5 1 118 6 5.580001 0.01999831199646 -1 1 -1 1
lala 6 0.3 0 second 7 1 119 4 3.82 0.01999831199646 1 1 -1 1
lala 2 1.2 1 first 1 1 120 4 4.12 0.01999831199646 -1 1 1 1
lala 9 0.15 1 second 0 1 121 4 4.14 0.01999831199646 -1 0 1 0
lala 7 0.15 0 second 2 1 122 5 4.95 0.01999831199646 -1 0 -1 0
lala 11 0.075 0 second 6 1 123 4 3.99 0.01999831199646 1 0 -1 1
lala 14 0.01875 0 first 14 1 124 5 4.9875 0.01999831199646 0 0 -1 1
lala 15 0.009375 0 first 14 1 125 5 4.996875 0.01999831199646 0 0 -1 0
lala 9 0.15 0 first 4 1 126 6 5.909999 0.01999831199646 -1 0 -1 1
lala 16 0.009375 1 first 14 1 127 5 5.00625 0.01999831199646 0 0 1 1
lala 7 0.3 0 first 12 1 128 4 3.84 0.01999831199646 0 0 -1 0
lala 10 0.075 1 first 0 1 129 4 4.065 0.01999831199646 -1 0 1 0
lala 6 0.6 1 first 10 1 130 6 6.36 0.01999831199646 1 0 1 1
lala 4 1.2 0 second 16 1 131 6 5.16 0.01999831199646 0 0 -1 0
lala 7 0.3 0 second 17 1 132 6 5.880001 0.01999831199646 0 1 -1 1
lala 3 1.2 0 second 3 1 133 5 4.25 0.01999831199646 -1 1 -1 1
lala 8 0.15 0 second 12 1 134 4 3.99 0.01999831199646 0 0 -1 1
lala 9 0.075 1 second 8 1 135 5 5.025 0.01999831199646 1 0 1 0
lala 5 0.6 0 second 16 1 136 6 5.76 0.01999831199646 0 0 -1 1
lala 4 1.2 1 second 3 1 137 5 5.45 0.01999831199646 -1 1 1 0
lala 12 0.0375 1 second 6 1 138 4 4.0275 0.01999831199646 1 0 1 1
lala 7 0.3 1 second 10 1 139 6 6.059999 0.01999831199646 1 0 1 1
lala 12 0.0375 1 first 15 1 140 5 5.037499 0.01999831199646 0 1 1 0
lala 8 0.3 1 first 17 1 141 6 6.180001 0.01999831199646 0 1 1 1
lala 7 0.3 0 second 11 1 142 6 5.880001 0.01999831199646 1 1 -1 1
lala 7 0.3 0 second 5 1 143 6 5.880001 0.01999831199646 -1 1 -1 1
lala 7 0.3 1 second 7 1 144 4 4.12 0.01999831199646 1 1 1 1
lala 13 0.01875 1 first 6 1 145 4 4.00875 0.01999831199646 1 0 1 1
lala 8 0.15 1 second 2 1 146 5 5.1 0.01999831199646 -1 0 1 0
lala 14 0.01875 0 first 6 1 147 4 3.99 0.01999831199646 1 0 -1 1
lala 5 0.6 0 first 3 1 148 5 4.85 0.01999831199646 -1 1 -1 1
lala 10 0.075 0 second 8 1 149 5 4.95 0.01999831199646 1 0 -1 0
lala 13 0.0375 0 second 15 1 150 5 5 0.01999831199646 0 1 -1 0
lala 15 0.009375 0 first 6 1 151 4 3.999375 0.01999831199646 1 0 -1 1
lala 10 0.15 1 second 4 1 152 6 6.059999 0.01999831199646 -1 0 1 0
lala 8 0.3 1 second 11 1 153 6 6.180001 0.01999831199646 1 1 1 0
lala 8 0.15 0 second 9 1 154 5 4.85 0.01999831199646 1 1 -1 1
lala 9 0.075 1 first 2 1 155 5 5.025 0.01999831199646 -1 0 1 0
lala 9 0.15 1 first 12 1 156 4 4.14 0.01999831199646 0 0 1 1
lala 6 0.3 1 first 3 1 157 5 5.15 0.01999831199646 -1 1 1 0
lala 16 0.009375 1 second 6 1 158 4 4.00875 0.01999831199646 1 0 1 0
lala 10 0.075 1 first 12 1 159 4 4.065 0.01999831199646 0 0 1 0
lala 11 0.075 0 second 4 1 160 6 5.985 0.01999831199646 -1 0 -1 1
lala 17 0.0046875 1 first 6 1 161 4 4.004063 0.01999831199646 1 0 1 0
lala 10 0.075 0 second 2 1 162 5 4.95 0.01999831199646 -1 0 -1 1
lala 9 0.15 1 second 11 1 163 6 6.030001 0.01999831199646 1 1 1 1
lala 6 0.6 1 second 16 1 164 6 6.36 0.01999831199646 0 0 1 0
lala 11 0.0375 0 second 2 1 165 5 4.9875 0.01999831199646 -1 0 -1 1
lala 11 0.075 0 first 12 1 166 4 3.99 0.01999831199646 0 0 -1 1
lala 7 0.3 1 second 16 1 167 6 6.059999 0.01999831199646 0 0 1 0
lala 8 0.3 0 second 10 1 168 6 5.759999 0.01999831199646 1 0 -1 0
lala 12 0.0375 1 first 4 1 169 6 6.0225 0.01999831199646 -1 0 1 1
lala 8 0.15 0 first 13 1 170 4 3.97 0.01999831199646 0 1 -1 1
lala 12 0.0375 1 second 2 1 171 5 5.025 0.01999831199646 -1 0 1 1
lala 8 0.15 0 first 7 1 172 4 3.97 0.01999831199646 1 1 -1 1
lala 3 1.2 0 first 1 1 173 4 2.92 0.01999831199646 -1 1 -1 1
lala 11 0.075 0 first 0 1 174 4 3.99 0.01999831199646 -1 0 -1 0
lala 9 0.15 0 second 10 1 175 6 5.909999 0.01999831199646 1 0 -1 1
lala 9 0.15 1 second 17 1 176 6 6.030001 0.01999831199646 0 1 1 0
lala 7 0.15 1 first 3 1 177 5 5 0.01999831199646 -1 1 1 1
lala 10 0.15 1 second 10 1 178 6 6.059999 0.01999831199646 1 0 1 1
lala 10 0.15 0 first 17 1 179 6 5.880001 0.01999831199646 0 1 -1 1
lala 8 0.3 1 first 5 1 180 6 6.180001 0.01999831199646 -1 1 1 0
lala 14 0.01875 1 second 15 1 181 5 5.01875 0.01999831199646 0 1 1 1
lala 11 0.0375 0 second 8 1 182 5 4.9875 0.01999831199646 1 0 -1 0
lala 8 0.3 0 second 16 1 183 6 5.759999 0.01999831199646 0 0 -1 1
lala 9 0.15 1 second 5 1 184 6 6.030001 0.01999831199646 -1 1 1 0
lala 18 0.0046875 0 first 6 1 185 4 3.999375 0.01999831199646 1 0 -1 0
lala 13 0.01875 1 first 2 1 186 5 5.00625 0.01999831199646 -1 0 1 1
lala 12 0.0375 1 first 12 1 187 4 4.0275 0.01999831199646 0 0 1 0
lala 10 0.15 0 first 5 1 188 6 5.880001 0.01999831199646 -1 1 -1 0
lala 10 0.15 0 first 11 1 189 6 5.880001 0.01999831199646 1 1 -1 1
lala 9 0.075 1 first 13 1 190 4 4.045 0.01999831199646 0 1 1 0
lala 19 0.00234375 1 first 6 1 191 4 4.001719 0.01999831199646 1 0 1 0
lala 8 0.15 0 first 3 1 192 5 4.85 0.01999831199646 -1 1 -1 0
lala 11 0.075 0 first 10 1 193 6 5.985 0.01999831199646 1 0 -1 1
lala 9 0.075 0 second 3 1 194 5 4.925 0.01999831199646 -1 1 -1 0
lala 11 0.075 0 first 5 1 195 6 5.955001 0.01999831199646 -1 1 -1 0
lala 20 0.001171875 1 second 6 1 196 4 4.000547 0.01999831199646 1 0 1 0
lala 12 0.0375 1 second 0 1 197 4 4.0275 0.01999831199646 -1 0 1 1
lala 13 0.01875 1 second 12 1 198 4 4.00875 0.01999831199646 0 0 1 1
lala 10 0.075 0 second 3 1 199 5 5 0.01999831199646 -1 1 -1 1
lala 13 0.01875 1 first 4 1 200 6 6.003749 0.01999831199646 -1 0 1 1
lala 14 0.01875 0 second 12 1 201 4 3.99 0.01999831199646 0 0 -1 1
lala 9 0.15 0 first 16 1 202 6 5.909999 0.01999831199646 0 0 -1 1
lala 12 0.0375 1 first 10 1 203 6 6.0225 0.01999831199646 1 0 1 1
lala 17 0.0046875 1 first 14 1 204 5 5.001563 0.01999831199646 0 0 1 0
lala 12 0.0375 1 first 8 1 205 5 5.025 0.01999831199646 1 0 1 0
lala 13 0.01875 1 first 10 1 206 6 6.003749 0.01999831199646 1 0 1 0
lala 13 0.01875 1 second 8 1 207 5 5.00625 0.01999831199646 1 0 1 0
lala 21 0.001171875 0 first 6 1 208 4 3.999375 0.01999831199646 1 0 -1 1
lala 9 0.075 0 first 9 1 210 5 4.925 0.01999831199646 1 1 -1 1
lala 11 0.075 1 first 3 1 211 5 5.074999 0.01999831199646 -1 1 1 1
lala 14 0.01875 0 second 8 1 212 5 4.9875 0.01999831199646 1 0 -1 1
lala 10 0.075 0 second 9 1 213 5 5 0.01999831199646 1 1 -1 1
lala 12 0.075 1 first 5 1 214 6 6.030001 0.01999831199646 -1 1 1 0
lala 11 0.075 0 second 17 1 215 6 5.955001 0.01999831199646 0 1 -1 1
lala 9 0.075 1 second 7 1 216 4 4.045 0.01999831199646 1 1 1 1
lala 10 0.0375 1 first 13 1 217 4 4.0075 0.01999831199646 0 1 1 0
lala 11 0.075 1 second 9 1 218 5 5.074999 0.01999831199646 1 1 1 1
lala 12 0.075 1 second 17 1 219 6 6.030001 0.01999831199646 0 1 1 0
