trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.24 4.5 0.65 0 -0.002225295 0.006669831 0.005955603 0.009149549 0.009680208 1000 -0.005710167 -0.003639642 0.0001657719 0.000668203 0.001065718 1000
2 0.3 -3.5 0.65 0 0.004815876 0.005367808 0.006029484 0.006387378 0.00698353 1000 0.006245382 0.005473279 0.005721649 0.005334473 0.005543418 1000
3 0.2 2.5 0.45 0 0.01111859 0.01121466 0.0118266 0.01200529 0.0122742 1000 0.006935935 0.007052122 0.006841155 0.007063164 0.006953309 1000
4 0.4 4.5 0.45 0 0.01751326 0.01773783 0.01802916 0.01828935 0.01848598 1000 0.007382941 0.007431643 0.007696683 0.007318653 0.007538403 1000
5 0.3 -4.5 0.45 0 0.02397801 0.02425008 0.02466615 0.02497766 0.0253593 1000 0.006924714 0.006750987 0.006497124 0.006696342 0.007045743 1000
6 0.4 -2.5 0.65 0 0.02092816 0.01646346 0.01255429 0.01255493 0.01283442 1000 0.007484942 0.005687038 0.003509503 0.005132636 0.005521767 1000
7 0.4600001 3.5 0.55 0 0.01710167 0.01731762 0.01733994 0.01773819 0.01783956 1000 0.002527359 0.002555721 0.002847437 0.002369292 0.002257723 1000
8 0.3 4.5 0.55 0 0.01824602 0.01828855 0.01848367 0.01900672 0.01919967 1000 0.002216365 0.002064124 0.002164833 0.00202222 0.001790821 1000
9 0.4800001 -2.5 0.45 0 0.0233514 0.02362275 0.02365289 0.02383135 0.02403736 1000 0.0001640602 0.0004753711 0.0005141841 0.000383986 0.0002799577 1000
10 0.52 -3.5 0.55 0 0.02137467 0.01849921 0.01662327 0.01718585 0.0174141 1000 0.001901855 0.002123333 0.002011807 0.001728871 0.001465674 1000
11 0.42 -2.5 0.55 0 0.02022269 0.02020536 0.02026885 0.01993688 0.01994386 1000 -0.0004785361 -0.0004079527 -0.000543655 -0.0002464933 -0.0001546229 1000
12 0.7399998 3.5 0.65 0 0.01924167 0.01885595 0.0184265 0.01877432 0.01895875 1000 0.0005105292 0.0007723371 0.0003776992 0.0003390754 -0.0003963088 1000
13 0.4 2.5 0.55 0 0.02093131 0.02089508 0.02079264 0.02028563 0.02010963 1000 -0.0005777021 -0.0002032063 -0.0003103705 -0.0001517281 -0.0001041989 1000
14 0.52 3.5 0.45 0 0.02049542 0.02063757 0.02031515 0.02036265 0.02054359 1000 -0.0007425295 -0.001220009 -0.001068306 -0.001474811 -0.001607221 1000
15 0.34 -4.5 0.55 0 0.02126557 0.02097847 0.02096871 0.02094562 0.02061011 1000 -0.001245818 -0.001042207 -0.001031597 -0.001295707 -0.0009132451 1000
16 0.6799999 -4.5 0.65 0 0.02095771 0.0206399 0.01995111 0.01981837 0.01949057 1000 -0.001581925 -0.001841805 -0.001841328 -0.00181704 -0.001962147 1000
17 0.32 2.5 0.65 0 0.02029108 0.02019363 0.0200772 0.02027647 0.02018595 1000 -0.001641429 -0.001851226 -0.001733494 -0.00181696 -0.001893376 1000
18 0.4800001 -3.5 0.45 0 0.02011107 0.01868644 0.01634432 0.01516868 0.01457673 1000 -0.002803768 -0.002984082 -0.003518489 -0.0039389 -0.004139469 1000
