subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 second 13 1 1 4 5.32 3.31999540328979 0 1 1 0 -0.0149539 -0.01459115 -0.0139842 -0.01294294 -0.01283139 1000 -0.0149539 -0.01459115 -0.0139842 -0.01294294 -0.01283139 1000 -0.0131934 -0.01314493 -0.01323713 -0.01402203 -0.01376245 1000 -0.0131934 -0.01314493 -0.01323713 -0.01402203 -0.01376245 1000
lala 1 1.2 0 second 10 1 2 6 3.96 1.65999698638916 1 0 -1 0 -0.02230849 -0.02245943 -0.02224081 -0.02199096 -0.02193739 1000 -0.02230849 -0.02245943 -0.02224081 -0.02199096 -0.02193739 1000 -0.02223312 -0.02240027 -0.02206715 -0.02241837 -0.02240679 1000 -0.02223312 -0.02240027 -0.02206715 -0.02241837 -0.02240679 1000
lala 1 1.2 1 second 12 1 3 4 2.64 3.31999540328979 0 0 1 1 -0.02098268 -0.01500744 -0.01303704 -0.01341345 -0.01398 1000 -0.02098268 -0.01500744 -0.01303704 -0.01341345 -0.01398 1000 -0.01648802 -0.01647748 -0.01638255 -0.01649479 -0.01650166 1000 -0.01648802 -0.01647748 -0.01638255 -0.01649479 -0.01650166 1000
lala 1 1.2 1 second 1 1 4 4 5.32 1.81999683380127 -1 1 1 1 -0.02092256 -0.02113602 -0.02084448 -0.02098013 -0.02098929 1000 -0.02092256 -0.02113602 -0.02084448 -0.02098013 -0.02098929 1000 -0.02126501 -0.02119436 -0.02103145 -0.02113291 -0.02113825 1000 -0.02126501 -0.02119436 -0.02103145 -0.02113291 -0.02113825 1000
lala 2 1.2 1 second 1 1 5 4 4.12 0.719997644424438 -1 1 1 0 -0.0211149 -0.02121855 -0.02109207 -0.02080792 -0.02139278 1000 -0.0211149 -0.02121855 -0.02109207 -0.02080792 -0.02139278 1000 -0.02228036 -0.02213348 -0.02202248 -0.02195145 -0.022072 1000 -0.02228036 -0.02213348 -0.02202248 -0.02195145 -0.022072 1000
lala 1 1.2 1 second 8 1 6 5 3.3 1.25999712944031 1 0 1 1 -0.02054271 -0.02012206 -0.01947569 -0.01914356 -0.0190472 1000 -0.02054271 -0.02012206 -0.01947569 -0.01914356 -0.0190472 1000 -0.02009599 -0.019908 -0.02012593 -0.02013874 -0.01986248 1000 -0.02009599 -0.019908 -0.02012593 -0.02013874 -0.01986248 1000
lala 1 1.2 1 second 3 1 7 5 6.65 2.03999662399292 -1 1 1 1 -0.02042977 -0.02008338 -0.01989954 -0.01984243 -0.01984548 1000 -0.02042977 -0.02008338 -0.01989954 -0.01984243 -0.01984548 1000 -0.0206556 -0.02083066 -0.02076885 -0.02052171 -0.02041301 1000 -0.0206556 -0.02083066 -0.02076885 -0.02052171 -0.02041301 1000
lala 1 1.2 1 first 11 1 8 6 7.98 0.959997415542603 1 1 1 1 -0.02010021 -0.02065668 -0.02044552 1000 1000 1000 -0.02010021 -0.02065668 -0.02044552 1000 1000 1000 -0.02064867 -0.02070643 -0.02052538 -0.02039382 -0.02006852 1000 -0.02064867 -0.02070643 -0.02052538 -0.02039382 -0.02006852 1000
lala 2 1.2 1 second 3 1 9 5 5.45 1.15999722480774 -1 1 1 1 -0.02081855 -0.02101701 -0.0207373 -0.02102075 -0.02089127 1000 -0.02081855 -0.02101701 -0.0207373 -0.02102075 -0.02089127 1000 -0.02066621 -0.02045985 -0.02056003 -0.0205693 -0.02019948 1000 -0.02066621 -0.02045985 -0.02056003 -0.0205693 -0.02019948 1000
lala 1 1.2 0 first 6 1 10 4 2.64 0.459997892379761 1 0 -1 1 -0.02020965 -0.02090203 -0.0212503 1000 1000 1000 -0.02020965 -0.02090203 -0.0212503 1000 1000 1000 -0.02132002 -0.02133229 -0.02096669 -0.02098741 -0.021428 1000 -0.02132002 -0.02133229 -0.02096669 -0.02098741 -0.021428 1000
