trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 3.459997 -2.5 0.55 0 0.009564388 -0.002025347 -0.001248184 0.007206623 0.01126553 1000 -0.003422152 -0.001497332 -0.0009131599 -0.001057695 0.001236368 1000
2 0.36 -3.5 0.65 0 -0.003385601 -0.004660911 -0.001451418 0.005118884 0.007913639 1000 0.001762969 0.004914395 0.005593923 0.005815635 0.006507921 1000
3 0.36 -3.5 0.45 0 0.01970535 0.01490838 0.01620846 0.01566383 0.01525939 1000 0.009536357 0.009396791 0.009738839 0.009707241 0.009175122 1000
4 0.8199998 4.5 0.55 0 0.02103396 0.0194579 0.02060796 0.02138236 0.02368539 1000 0.009987128 0.01095748 0.01084165 0.01213927 0.01193122 1000
5 0.38 3.5 0.55 0 0.02168475 0.02230324 0.0233854 0.02352032 0.02354168 1000 0.01207054 0.01238853 0.01215878 0.011997 0.01198773 1000
6 0.7399998 -4.5 0.65 0 0.02234288 0.01785191 0.01582853 0.01568409 0.01518534 1000 0.009777477 0.006409309 0.005487949 0.006298884 0.006552676 1000
7 0.6999999 -4.5 0.55 0 0.01818789 0.01824818 0.01807951 0.01836349 0.01869928 1000 0.01006171 0.009941521 0.009444726 0.009331248 0.009287772 1000
8 0.6599999 4.5 0.45 0 0.0193916 0.01985852 0.02073588 0.02037716 0.01979905 1000 0.01257911 0.01249653 0.01215177 0.01191502 0.01184228 1000
9 0.28 -3.5 0.55 0 0.02042178 0.0198088 0.01969031 0.01955936 0.01943612 1000 0.01143385 0.01155927 0.01125445 0.01166257 0.01191319 1000
10 0.32 3.5 0.45 0 0.0219144 0.0223352 0.02283161 0.02201331 0.02159748 1000 0.011699 0.01157469 0.0112816 0.01149017 0.01167025 1000
11 0.36 -4.5 0.45 0 0.02378225 0.02318352 0.02342963 0.02413331 0.0239575 1000 0.01191025 0.01172925 0.01172265 0.01182634 0.01135196 1000
12 0.28 2.5 0.55 0 0.02334051 0.02263005 0.02287258 0.02275132 0.02231253 1000 0.01283819 0.012539 0.01234853 0.0124426 0.0125719 1000
13 1.359999 3.5 0.65 0 0.02437226 0.0244709 0.02484014 0.02478077 0.02538978 1000 0.0123859 0.0120575 0.01291461 0.01271358 0.01258446 1000
14 1.179999 2.5 0.65 0 0.009045854 0.009657802 0.01018068 0.01168169 0.01372166 1000 0.008279697 0.007175381 0.006249751 0.00718586 0.007860098 1000
15 0.28 2.5 0.45 0 0.01288482 0.01322258 0.01353394 0.01419315 0.01415045 1000 0.006966457 0.006224838 0.005973657 0.006047347 0.006003016 1000
16 0.26 -2.5 0.65 0 0.01393223 0.01454681 0.01448724 0.01450614 0.01509207 1000 0.005745005 0.005922406 0.006533762 0.006888194 0.00629246 1000
17 0.8199998 4.5 0.65 0 0.01513924 0.01586707 0.01535628 0.01566484 0.01564116 1000 0.005644797 0.005923458 0.006238376 0.006251207 0.006273494 1000
18 0.24 -2.5 0.45 0 0.01502439 0.01501682 0.01620921 0.01651989 0.0168658 1000 0.00541936 0.006119194 0.006117063 0.005839544 0.005692162 1000
