subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 second 17 1 1 6 7.98 0.379997968673706 0 1 1 1 0.006133862 0.005958796 0.006648594 0.005604431 0.00388205 1000 0.006133862 0.005958796 0.006648594 0.005604431 0.00388205 1000 0.0002187941 -0.001015311 -0.001693209 -0.002124124 -0.003153994 1000 0.0002187941 -0.001015311 -0.001693209 -0.002124124 -0.003153994 1000
lala 2 1.2 1 second 17 1 2 6 6.780001 0.379997968673706 0 1 1 1 -0.0023295 -0.00258122 -0.002557283 -0.002455614 -0.002094621 1000 -0.0023295 -0.00258122 -0.002557283 -0.002455614 -0.002094621 1000 3.315145E-05 0.0007161134 0.001162068 0.001081647 0.0005576669 1000 3.315145E-05 0.0007161134 0.001162068 0.001081647 0.0005576669 1000
lala 1 1.2 1 first 2 1 3 5 3.3 0.599997758865356 -1 0 1 1 0.001579885 0.001012037 0.001078439 1000 1000 1000 0.001579885 0.001012037 0.001078439 1000 1000 1000 0.00238771 0.003036863 0.004195701 0.004497585 0.004625031 1000 0.00238771 0.003036863 0.004195701 0.004497585 0.004625031 1000
lala 1 1.2 1 first 16 1 4 6 3.96 0.559997797012329 0 0 1 0 0.007201452 0.007184199 0.007223502 1000 1000 1000 0.007201452 0.007184199 0.007223502 1000 1000 1000 0.00820163 0.008356676 0.008152722 0.00844984 0.00866071 1000 0.00820163 0.008356676 0.008152722 0.00844984 0.00866071 1000
lala 1 1.2 1 second 10 1 5 6 3.96 0.599997758865356 1 0 1 1 0.007039217 0.007095845 0.00721578 0.00688978 0.00716346 1000 0.007039217 0.007095845 0.00721578 0.00688978 0.00716346 1000 0.007610407 0.008171886 0.008230322 0.008013043 0.007913139 1000 0.007610407 0.008171886 0.008230322 0.008013043 0.007913139 1000
lala 1 1.2 1 first 12 1 6 4 2.64 0.39999794960022 0 0 1 0 0.009184407 0.00902024 0.009605424 1000 1000 1000 0.009184407 0.00902024 0.009605424 1000 1000 1000 0.01082694 0.01176423 0.01124515 0.01076107 0.01161083 1000 0.01082694 0.01176423 0.01124515 0.01076107 0.01161083 1000
lala 2 1.2 0 second 12 1 7 4 1.44 0.319998025894165 0 0 -1 1 0.01228086 0.01290495 0.01280029 0.01269165 0.01311571 1000 0.01228086 0.01290495 0.01280029 0.01269165 0.01311571 1000 0.0141228 0.01423066 0.01401541 0.01391638 0.0139347 1000 0.0141228 0.01423066 0.01401541 0.01391638 0.0139347 1000
lala 1 1.2 1 second 15 1 8 5 6.65 0.339998006820679 0 1 1 1 0.01234509 0.01214402 0.01169364 0.01162543 0.01115414 1000 0.01234509 0.01214402 0.01169364 0.01162543 0.01115414 1000 0.01113551 0.0113081 0.01176648 0.01161586 0.01151598 1000 0.01113551 0.0113081 0.01176648 0.01161586 0.01151598 1000
lala 2 1.2 1 second 15 1 9 5 5.45 0.279998064041138 0 1 1 0 0.0107913 0.009837955 0.00818382 0.006053932 0.006285659 1000 0.0107913 0.009837955 0.00818382 0.006053932 0.006285659 1000 -0.01179908 -0.01260084 -0.01504946 -0.01740947 -0.01883305 1000 -0.01179908 -0.01260084 -0.01504946 -0.01740947 -0.01883305 1000
lala 1 1.2 1 first 7 1 10 4 5.32 0.539997816085815 1 1 1 0 -0.01675471 -0.01239248 -0.0107084 1000 1000 1000 -0.01675471 -0.01239248 -0.0107084 1000 1000 1000 -0.00722919 -0.006822851 -0.006707555 -0.00638504 -0.006036452 1000 -0.00722919 -0.006822851 -0.006707555 -0.00638504 -0.006036452 1000
lala 2 1.2 0 first 2 1 11 5 2.1 1.49999690055847 -1 0 -1 0 -0.00705053 -0.00707903 -0.007159189 1000 1000 1000 -0.00705053 -0.00707903 -0.007159189 1000 1000 1000 -0.006791231 -0.006656414 -0.006825838 -0.00682532 -0.006960424 1000 -0.006791231 -0.006656414 -0.006825838 -0.00682532 -0.006960424 1000
lala 1 1.2 1 second 8 1 12 5 3.3 0.459997892379761 1 0 1 0 -0.006918535 -0.007773907 -0.007560574 -0.008108047 -0.008139083 1000 -0.006918535 -0.007773907 -0.007560574 -0.008108047 -0.008139083 1000 -0.009215144 -0.009107323 -0.009221011 -0.008761452 -0.008833811 1000 -0.009215144 -0.009107323 -0.009221011 -0.008761452 -0.008833811 1000
lala 1 1.2 1 first 1 1 13 4 5.32 0.219998121261597 -1 1 1 1 -0.009008195 -0.008663549 -0.008707201 1000 1000 1000 -0.009008195 -0.008663549 -0.008707201 1000 1000 1000 -0.0112252 -0.01067685 -0.01082633 -0.01076735 -0.010668 1000 -0.0112252 -0.01067685 -0.01082633 -0.01076735 -0.010668 1000
lala 2 1.2 1 second 7 1 14 4 4.12 0.419997930526733 1 1 1 0 -0.01164037 -0.0119611 -0.01264926 -0.01248271 -0.01203545 1000 -0.01164037 -0.0119611 -0.01264926 -0.01248271 -0.01203545 1000 -0.009946734 -0.009844979 -0.009870554 -0.01019734 -0.01018938 1000 -0.009946734 -0.009844979 -0.009870554 -0.01019734 -0.01018938 1000
lala 2 1.2 1 first 1 1 15 4 4.12 0.01999831199646 -1 1 1 1 -0.01476589 -0.0148246 -0.01507444 1000 1000 1000 -0.01476589 -0.0148246 -0.01507444 1000 1000 1000 -0.01412442 -0.0131525 -0.01290705 -0.01322585 -0.01280973 1000 -0.01412442 -0.0131525 -0.01290705 -0.01322585 -0.01280973 1000
lala 2 1.2 1 first 8 1 16 5 2.1 1.05999732017517 1 0 1 1 -0.01209623 -0.0123705 -0.0127326 1000 1000 1000 -0.01209623 -0.0123705 -0.0127326 1000 1000 1000 -0.0118478 -0.0122612 -0.01150314 -0.01230073 -0.01231662 1000 -0.0118478 -0.0122612 -0.01150314 -0.01230073 -0.01231662 1000
lala 1 1.2 1 first 0 1 17 4 2.64 0.61999773979187 -1 0 1 1 -0.01202003 -0.01161661 -0.01228762 1000 1000 1000 -0.01202003 -0.01161661 -0.01228762 1000 1000 1000 -0.01412262 -0.0142375 -0.014896 -0.01467975 -0.01438655 1000 -0.01412262 -0.0142375 -0.014896 -0.01467975 -0.01438655 1000
lala 3 1.2 1 first 7 1 18 4 2.92 0.559997797012329 1 1 1 1 -0.01398549 -0.01413949 -0.01489764 1000 1000 1000 -0.01398549 -0.01413949 -0.01489764 1000 1000 1000 -0.01507489 -0.01527445 -0.01495786 -0.01502533 -0.01561873 1000 -0.01507489 -0.01527445 -0.01495786 -0.01502533 -0.01561873 1000
lala 2 1.2 0 second 10 1 19 6 2.76 0.339998006820679 1 0 -1 0 -0.01509135 -0.01498913 -0.0151253 -0.01550766 -0.01556709 1000 -0.01509135 -0.01498913 -0.0151253 -0.01550766 -0.01556709 1000 -0.01573984 -0.01565711 -0.01574169 -0.01547307 -0.01551862 1000 -0.01573984 -0.01565711 -0.01574169 -0.01547307 -0.01551862 1000
lala 1 1.2 1 second 5 1 20 6 7.98 16.8602499961853 -1 1 1 1 -0.01554586 -0.01570953 -0.01563567 -0.01557037 -0.01589043 1000 -0.01554586 -0.01570953 -0.01563567 -0.01557037 -0.01589043 1000 -0.01500875 -0.01525922 -0.01546599 -0.01524351 -0.0151514 1000 -0.01500875 -0.01525922 -0.01546599 -0.01524351 -0.0151514 1000
lala 3 1.2 1 second 2 1 21 5 3.3 0.699997663497925 -1 0 1 0 -0.009677382 -0.009074965 -0.009571184 -0.009052853 -0.0101097 1000 -0.009677382 -0.009074965 -0.009571184 -0.009052853 -0.0101097 1000 -0.01193751 -0.01451454 -0.01753419 -0.02101901 -0.02206297 1000 -0.01193751 -0.01451454 -0.01753419 -0.02101901 -0.02206297 1000
lala 4 1.2 1 second 7 1 22 4 1.72 0.39999794960022 1 1 1 0 -0.01338889 -0.01272893 -0.01241582 -0.0120045 -0.01262462 1000 -0.01338889 -0.01272893 -0.01241582 -0.0120045 -0.01262462 1000 -0.005271649 -0.006440635 -0.007692838 -0.009003201 -0.0092133 1000 -0.005271649 -0.006440635 -0.007692838 -0.009003201 -0.0092133 1000
lala 2 1.2 1 first 5 1 23 6 6.780001 0.259998083114624 -1 1 1 1 -0.01790955 -0.01496412 -0.01423502 1000 1000 1000 -0.01790955 -0.01496412 -0.01423502 1000 1000 1000 -0.01159771 -0.01139949 -0.01095076 -0.01056596 -0.01105189 1000 -0.01159771 -0.01139949 -0.01095076 -0.01056596 -0.01105189 1000
lala 3 1.2 1 second 15 1 24 5 4.25 0.279998064041138 0 1 1 0 -0.008399941 -0.0077556 -0.00828996 -0.008518612 -0.008954303 1000 -0.008399941 -0.0077556 -0.00828996 -0.008518612 -0.008954303 1000 -0.006942782 -0.007197434 -0.006349294 -0.00665066 -0.006839913 1000 -0.006942782 -0.007197434 -0.006349294 -0.00665066 -0.006839913 1000
lala 3 1.2 1 first 17 1 25 6 5.580001 0.939997434616089 0 1 1 1 -0.009678245 -0.009508994 -0.009670325 1000 1000 1000 -0.009678245 -0.009508994 -0.009670325 1000 1000 1000 -0.01454955 -0.01499663 -0.01488164 -0.01455728 -0.0144234 1000 -0.01454955 -0.01499663 -0.01488164 -0.01455728 -0.0144234 1000
lala 3 1.2 1 second 5 1 26 6 5.580001 0.39999794960022 -1 1 1 0 -0.01338377 -0.01299718 -0.01295352 -0.01350594 -0.01288181 1000 -0.01338377 -0.01299718 -0.01295352 -0.01350594 -0.01288181 1000 -0.01464872 -0.01458409 -0.01476485 -0.01456571 -0.01465957 1000 -0.01464872 -0.01458409 -0.01476485 -0.01456571 -0.01465957 1000
lala 4 1.2 1 first 17 1 27 6 4.380001 0.23999810218811 0 1 1 0 -0.01519509 -0.01545041 -0.01552458 1000 1000 1000 -0.01519509 -0.01545041 -0.01552458 1000 1000 1000 -0.01595356 -0.01562271 -0.01570222 -0.01578525 -0.01528252 1000 -0.01595356 -0.01562271 -0.01570222 -0.01578525 -0.01528252 1000
lala 5 1.2 1 second 17 1 28 6 3.180001 0.559997797012329 0 1 1 1 -0.01500557 -0.01499908 -0.01505247 -0.01467006 -0.01436006 1000 -0.01500557 -0.01499908 -0.01505247 -0.01467006 -0.01436006 1000 -0.01577581 -0.01629237 -0.01625853 -0.01623943 -0.01653957 1000 -0.01577581 -0.01629237 -0.01625853 -0.01623943 -0.01653957 1000
lala 1 1.2 1 first 13 1 29 4 5.32 0.499997854232788 0 1 1 1 -0.01434628 -0.01407551 -0.01474523 1000 1000 1000 -0.01434628 -0.01407551 -0.01474523 1000 1000 1000 -0.01618963 -0.01635348 -0.01658916 -0.01687266 -0.01775221 1000 -0.01618963 -0.01635348 -0.01658916 -0.01687266 -0.01775221 1000
lala 1 1.2 0 first 6 1 30 4 2.64 0.899997472763062 1 0 -1 0 -0.01774449 -0.01808436 -0.01813776 1000 1000 1000 -0.01774449 -0.01808436 -0.01813776 1000 1000 1000 -0.0186924 -0.01834647 -0.0186279 -0.01879685 -0.01895801 1000 -0.0186924 -0.01834647 -0.0186279 -0.01879685 -0.01895801 1000
lala 4 1.2 1 second 15 1 31 5 3.05 0.539997816085815 0 1 1 1 -0.02025452 -0.02055654 -0.02062894 -0.0202755 -0.02056413 1000 -0.02025452 -0.02055654 -0.02062894 -0.0202755 -0.02056413 1000 -0.02084341 -0.02106569 -0.02124112 -0.02161426 -0.02164811 1000 -0.02084341 -0.02106569 -0.02124112 -0.02161426 -0.02164811 1000
lala 1 1.2 1 first 3 1 32 5 6.65 0.359997987747192 -1 1 1 1 -0.02241398 -0.02245613 -0.02269174 1000 1000 1000 -0.02241398 -0.02245613 -0.02269174 1000 1000 1000 -0.02637933 -0.02663002 -0.02602337 -0.02610935 -0.0263739 1000 -0.02637933 -0.02663002 -0.02602337 -0.02610935 -0.0263739 1000
lala 3 1.2 1 second 8 1 33 5 1.65 0.679997682571411 1 0 1 0 -0.01436923 -0.01450442 -0.01402766 -0.01405759 -0.01399289 1000 -0.01436923 -0.01450442 -0.01402766 -0.01405759 -0.01399289 1000 -0.01482897 -0.01429875 -0.01464184 -0.0152013 -0.01461201 1000 -0.01482897 -0.01429875 -0.01464184 -0.0152013 -0.01461201 1000
lala 4 1.2 1 second 2 1 34 5 2.1 0.419997930526733 -1 0 1 1 -0.01447129 -0.01437804 -0.01398264 -0.01400373 -0.01440696 1000 -0.01447129 -0.01437804 -0.01398264 -0.01400373 -0.01440696 1000 -0.01507672 -0.01562554 -0.01593882 -0.01641951 -0.01637832 1000 -0.01507672 -0.01562554 -0.01593882 -0.01641951 -0.01637832 1000
lala 3 1.2 1 second 12 1 35 4 2.64 0.539997816085815 0 0 1 1 -0.01327936 -0.01364455 -0.01366834 -0.01297012 -0.01306192 1000 -0.01327936 -0.01364455 -0.01366834 -0.01297012 -0.01306192 1000 -0.01395071 -0.01387293 -0.01382681 -0.01391346 -0.01380639 1000 -0.01395071 -0.01387293 -0.01382681 -0.01391346 -0.01380639 1000
lala 5 1.2 0 first 2 1 36 5 1.65 1.63999700546265 -1 0 -1 0 -0.01586578 -0.01509326 -0.01516152 1000 1000 1000 -0.01586578 -0.01509326 -0.01516152 1000 1000 1000 -0.01557857 -0.01551655 -0.01505145 -0.01510254 -0.01500759 1000 -0.01557857 -0.01551655 -0.01505145 -0.01510254 -0.01500759 1000
lala 3 1.2 1 second 1 1 37 4 2.92 0.519997835159302 -1 1 1 1 -0.01712767 -0.01678272 -0.0165567 -0.01687345 -0.01670531 1000 -0.01712767 -0.01678272 -0.0165567 -0.01687345 -0.01670531 1000 -0.01583011 -0.01552486 -0.01590193 -0.01620764 -0.01622376 1000 -0.01583011 -0.01552486 -0.01590193 -0.01620764 -0.01622376 1000
lala 6 1.2 0 second 17 1 38 6 1.980001 0.639997720718384 0 1 -1 1 -0.01616777 -0.01623467 -0.01632062 -0.01645065 -0.01635518 1000 -0.01616777 -0.01623467 -0.01632062 -0.01645065 -0.01635518 1000 -0.01593268 -0.01590399 -0.01650554 -0.01671113 -0.01614371 1000 -0.01593268 -0.01590399 -0.01650554 -0.01671113 -0.01614371 1000
