subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 0 second 8 1 1 5 3.3 0.499997854232788 1 0 -1 0 0.004450021 0.002324976 0.004383132 0.001871829 0.001419106 1000 0.004450021 0.002324976 0.004383132 0.001871829 0.001419106 1000 -0.001967096 -0.00204859 -0.001878396 -0.001602317 -0.001570337 1000 -0.001967096 -0.00204859 -0.001878396 -0.001602317 -0.001570337 1000
lala 1 1.2 0 first 0 1 2 4 2.64 2.07999658584595 -1 0 -1 1 -0.002292277 -0.002268843 -0.002831357 1000 1000 1000 -0.002292277 -0.002268843 -0.002831357 1000 1000 1000 -0.004448749 -0.004273806 -0.004117931 -0.004381586 -0.004310491 1000 -0.004448749 -0.004273806 -0.004117931 -0.004381586 -0.004310491 1000
lala 1 1.2 0 second 6 1 3 4 2.64 1.73999691009521 1 0 -1 1 -0.002802774 -0.002826016 -0.002719895 -0.002782772 -0.002849494 1000 -0.002802774 -0.002826016 -0.002719895 -0.002782772 -0.002849494 1000 -0.003640965 -0.00351811 -0.003439177 -0.003335738 -0.00350923 1000 -0.003640965 -0.00351811 -0.003439177 -0.003335738 -0.00350923 1000
lala 1 1.2 1 first 13 1 4 4 5.32 0.119998216629028 0 1 1 1 -0.002293906 -0.002335482 -0.002736492 1000 1000 1000 -0.002293906 -0.002335482 -0.002736492 1000 1000 1000 -0.002408959 -0.002445123 -0.002210106 -0.002048974 -0.002272808 1000 -0.002408959 -0.002445123 -0.002210106 -0.002048974 -0.002272808 1000
lala 1 1.2 1 second 10 1 5 6 3.96 1.17999720573425 1 0 1 1 -0.002155755 -0.002401932 -0.002558808 -0.002982145 -0.002890651 1000 -0.002155755 -0.002401932 -0.002558808 -0.002982145 -0.002890651 1000 -0.002853275 -0.002845042 -0.002801157 -0.003166222 -0.003414241 1000 -0.002853275 -0.002845042 -0.002801157 -0.003166222 -0.003414241 1000
lala 2 1.2 0 second 10 1 6 6 2.76 1.21999716758728 1 0 -1 1 -0.00207109 -0.00238236 -0.002438395 -0.002362013 -0.002558938 1000 -0.00207109 -0.00238236 -0.002438395 -0.002362013 -0.002558938 1000 -0.003037429 -0.002679187 -0.002391817 -0.002650132 -0.002785455 1000 -0.003037429 -0.002679187 -0.002391817 -0.002650132 -0.002785455 1000
lala 1 1.2 1 first 17 1 7 6 7.98 0.61999773979187 0 1 1 0 -0.002900016 -0.002743693 -0.002840354 1000 1000 1000 -0.002900016 -0.002743693 -0.002840354 1000 1000 1000 -0.002793051 -0.002808553 -0.002586096 -0.002758444 -0.003053124 1000 -0.002793051 -0.002808553 -0.002586096 -0.002758444 -0.003053124 1000
lala 3 1.2 0 first 10 1 8 6 3.96 0.299998044967651 1 0 -1 1 -0.002338863 -0.002227328 -0.00207193 1000 1000 1000 -0.002338863 -0.002227328 -0.00207193 1000 1000 1000 0.004577691 0.004390829 0.004176783 0.002183195 -0.0003577117 1000 0.004577691 0.004390829 0.004176783 0.002183195 -0.0003577117 1000
lala 2 1.2 1 first 8 1 9 5 4.5 0.61999773979187 1 0 1 0 0.003827581 0.004793414 0.006142505 1000 1000 1000 0.003827581 0.004793414 0.006142505 1000 1000 1000 0.0007783673 0.001494813 0.001849422 0.002158197 0.002236625 1000 0.0007783673 0.001494813 0.001849422 0.002158197 0.002236625 1000
lala 1 1.2 1 first 4 1 10 6 3.96 2.55999612808228 -1 0 1 0 0.003686336 0.003014801 0.002824547 1000 1000 1000 0.003686336 0.003014801 0.002824547 1000 1000 1000 0.002952368 0.003037394 0.003124738 0.003124221 0.003170898 1000 0.002952368 0.003037394 0.003124738 0.003124221 0.003170898 1000
