trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 2.339998 -3.5 0.55 0 -0.01936593 -0.02245251 -0.02251092 -0.02215962 -0.02218369 1000 0.02325653 0.01520031 0.005873713 -0.0009675431 -0.006006854 1000
2 0.7799998 -4.5 0.55 0 -0.01332238 -0.01283052 -0.01217164 -0.01179349 -0.01224561 1000 0.01359922 0.01312677 0.01206953 0.011417 0.01070069 1000
3 0.7799998 4.5 0.65 0 -0.01198236 -0.01149536 -0.01108682 -0.01081922 -0.01170264 1000 -0.002066716 -0.002171597 -0.002344804 -0.002183503 -0.002116621 1000
4 0.56 -2.5 0.45 0 -0.01344519 -0.01384188 -0.01478934 -0.01520583 -0.01551361 1000 0.00154102 0.0004920479 4.295041E-05 1.87012E-06 -0.0006633591 1000
5 0.4400001 -4.5 0.45 0 -0.01469849 -0.01432012 -0.01442824 -0.01474957 -0.01535421 1000 -0.003341509 -0.003216311 -0.002934884 -0.002743712 -0.002901227 1000
6 0.8599997 -2.5 0.65 0 -0.01549413 -0.01570838 -0.01597542 -0.0159481 -0.01609391 1000 -0.004518516 -0.004435843 -0.004213113 -0.004682636 -0.004530879 1000
7 0.54 -4.5 0.65 0 -0.01710991 -0.01764333 -0.01807499 -0.01824909 -0.01809464 1000 -0.01140032 -0.01210021 -0.01248598 -0.01272488 -0.01261043 1000
8 0.7999998 -3.5 0.65 0 -0.01671568 -0.01687073 -0.01751944 -0.0178153 -0.01779315 1000 -0.01637886 -0.01705491 -0.01763826 -0.01784968 -0.01785347 1000
9 0.8799997 4.5 0.45 0 -0.0168454 -0.01669032 -0.01665258 -0.01677162 -0.01693783 1000 -0.02112726 -0.02125798 -0.02119856 -0.02097249 -0.020853 1000
10 0.8599997 3.5 0.55 0 -0.01477302 -0.01510419 -0.01516443 -0.01505573 -0.01452901 1000 -0.01787356 -0.01767725 -0.01695318 -0.01560711 -0.01603184 1000
11 0.6 2.5 0.65 0 -0.0143254 -0.01361793 -0.01324885 -0.01332435 -0.01305688 1000 -0.01903266 -0.01890042 -0.01825496 -0.01849427 -0.01979697 1000
12 0.8399997 3.5 0.65 0 -0.01217636 -0.01180939 -0.01172344 -0.01136433 -0.01107208 1000 -0.02113788 -0.02071171 -0.02067036 -0.02049602 -0.01996904 1000
13 0.4 3.5 0.45 0 -0.008953913 -0.008904043 -0.008687031 -0.007886089 -0.007473398 1000 -0.02083519 -0.02091186 -0.02080546 -0.02109539 -0.02099756 1000
14 0.36 2.5 0.45 0 -0.004683685 -0.004848914 -0.005403126 -0.005954014 -0.005650635 1000 -0.01944564 -0.01965705 -0.0201514 -0.02059047 -0.02050895 1000
15 1.219999 4.5 0.55 0 -0.002530467 -0.002275406 -0.002324783 -0.002541807 -0.002880608 1000 -0.02020983 -0.02014725 -0.02001897 -0.02049176 -0.02057699 1000
16 0.02 -2.5 0.55 0 -0.0004714505 0.0001213984 0.0005944048 0.0009832521 0.0007543408 1000 -0.02147708 -0.02178473 -0.02178911 -0.02182212 -0.02207145 1000
17 0.06 2.5 0.55 0 -0.0007916123 -0.0006666319 -0.0005603073 -0.0007181467 -0.0006955055 1000 -0.02390515 -0.02373868 -0.02395049 -0.0238204 -0.02405785 1000
18 0.12 -3.5 0.45 0 0.0008913373 0.000756362 0.0006433 0.0005274424 0.000309952 1000 -0.02224414 -0.02232056 -0.02162975 -0.02199135 -0.02166002 1000
