trial Response Correct Target ReactionTime
1 2 1 2 2.679998
2 2 1 2 2.419998
3 2 1 2 1.219999
4 2 1 2 1.839999
5 2 1 2 1.619999
6 2 1 2 1.719999
7 2 1 2 1.999999
8 2 0 1 1.399999
9 1 1 1 1.439999
10 2 1 2 1.159999
11 1 1 1 0.7199998
12 2 1 2 1.999999
13 1 1 1 1.06
14 2 1 2 0.7799998
15 1 1 1 1.799999
16 2 1 2 0.7599998
17 2 1 2 1.379999
18 1 1 1 2.259999
19 2 1 2 1.679999
20 2 1 2 0.8799997
20 2 1 2 0.8799997
