trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.12 4.5 0.55 0 -0.02155427 -0.0210007 -0.02020082 -0.02017127 -0.02083793 1000 0.006442694 0.00593782 0.00717908 0.00801493 0.007716103 1000
2 0.02 -4.5 0.55 0 -0.009965285 -0.01306265 -0.01493351 -0.01378797 -0.01422681 1000 0.002203336 0.0026624 0.002772843 0.002564779 0.002959682 1000
3 0.32 -2.5 0.65 0 -0.01700179 -0.01747761 -0.01788126 -0.01849652 -0.01834977 1000 0.003534496 0.00456852 0.006263727 0.006284166 0.005379159 1000
4 0.32 2.5 0.45 0 -0.01855496 -0.01852273 -0.01901249 -0.01917644 -0.0189472 1000 0.006036142 0.005803188 0.006321791 0.007428859 0.008138884 1000
5 0.54 -4.5 0.65 0 -0.01964967 -0.02001476 -0.02040787 -0.01980902 -0.01976616 1000 0.006658834 0.006284447 0.006212875 0.005991663 0.005351939 1000
6 0.52 3.5 0.55 0 -0.01059359 -0.01231792 -0.01323541 -0.01369113 -0.01214175 1000 0.004487241 0.004393796 0.003739552 0.005335485 0.009139848 1000
7 0.36 4.5 0.45 0 -0.008049465 -0.008254838 -0.008183974 -0.007824054 -0.00792956 1000 0.01002554 0.01003788 0.0102301 0.01034342 0.01105323 1000
8 0.4800001 4.5 0.65 0 -0.009571758 -0.009634758 -0.009423588 -0.009505965 -0.01011651 1000 0.007614968 0.008193257 0.008874479 0.009087916 0.009219852 1000
9 0.6399999 -4.5 0.45 0 -0.006571869 -0.005783161 -0.005438269 -0.005748498 -0.005219456 1000 0.001772835 0.001867145 0.001925734 0.001498499 0.001630021 1000
10 0.36 2.5 0.55 0 -0.005943284 -0.006053511 -0.006070771 -0.005754204 -0.005383452 1000 -0.0004336775 0.0005093606 0.0008740186 0.0001900699 0.0002098597 1000
11 0.26 -2.5 0.45 0 -0.004441121 -0.004637546 -0.004116931 -0.004169631 -0.004061709 1000 -0.0003419742 -0.0007212575 -0.00078919 -0.001336566 -0.0009746823 1000
12 0.58 -3.5 0.55 0 -0.00448125 -0.004536062 -0.003864165 -0.003066514 -0.003040346 1000 -0.001678413 -0.001205044 -0.001502772 -0.001282797 -0.001360205 1000
13 0.7399998 3.5 0.65 0 -0.004572062 -0.004992228 -0.004903742 -0.004678832 -0.004551961 1000 -0.00491625 -0.004095299 -0.004003026 -0.003498593 -0.002803465 1000
14 0.4 -3.5 0.45 0 -0.004470931 -0.004586384 -0.004140913 -0.003843526 -0.003504587 1000 -0.003350166 -0.003564964 -0.003296937 -0.002905684 -0.002374312 1000
15 0.4 2.5 0.65 0 -0.002856215 -0.00366432 -0.004799511 -0.004328876 -0.003912597 1000 -0.003356615 -0.003130401 -0.00300386 -0.002753704 -0.00277025 1000
16 0.56 -2.5 0.55 0 -0.005850305 -0.005590251 -0.005615168 -0.005550249 -0.005562569 1000 -0.004569368 -0.004671969 -0.005012508 -0.005599305 -0.00536614 1000
17 0.4 -3.5 0.65 0 -0.005172115 -0.005147633 -0.005327136 -0.004956145 -0.003931191 1000 -0.005703597 -0.005585775 -0.005472464 -0.005626645 -0.005892967 1000
18 0.54 3.5 0.45 0 -0.006731501 -0.006476169 -0.006953542 -0.007597165 -0.006690628 1000 -0.007141902 -0.007281664 -0.006044391 -0.005467 -0.005395765 1000
