trial Response Correct Target ReactionTime
1 1 1 1 6.139995
2 2 1 2 10.96006
3 1 1 1 10.02004
4 1 1 1 1.479999
5 1 0 2 2.899998
6 1 1 1 3.619997
7 2 1 2 5.579996
8 2 1 2 1.819999
9 2 1 2 2.199999
10 1 1 1 2.159999
11 1 1 1 1.199999
12 2 0 1 2.659998
13 2 1 2 1.14
14 1 1 1 1.619999
15 1 1 1 1.379999
16 1 1 1 1.899999
17 1 1 1 3.099998
18 2 1 2 3.599997
19 1 0 2 1.699999
20 1 0 2 4.439997
20 1 0 2 4.439997
