subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 first 4 1 1 6 3.96 2.13999652862549 -1 0 1 0 -0.005378536 -0.005569977 -0.00127987 0.001440191 0.005593078 0.007865815 -0.005378536 -0.005569977 -0.00127987 0.001440191 0.005593078 0.007865815 0.01691943 0.01780822 0.01861426 0.01946912 0.02044468 1000 0.01691943 0.01780822 0.01861426 0.01946912 0.02044468 1000
lala 1 1.2 1 second 8 1 2 5 3.3 0.979997396469116 1 0 1 1 0.02309361 0.02266239 0.0224254 0.02211994 0.02234596 1000 0.02309361 0.02266239 0.0224254 0.02211994 0.02234596 1000 0.0239532 0.02444433 0.0258124 0.02620592 0.02724365 1000 0.0239532 0.02444433 0.0258124 0.02620592 0.02724365 1000
lala 1 1.2 0 second 0 1 3 4 2.64 0.979997396469116 -1 0 -1 1 0.01521805 0.01452796 0.01478693 0.01582418 0.01631552 1000 0.01521805 0.01452796 0.01478693 0.01582418 0.01631552 1000 0.01627731 0.01588739 0.01628198 0.0164883 0.0171577 1000 0.01627731 0.01588739 0.01628198 0.0164883 0.0171577 1000
lala 2 1.2 0 second 8 1 4 5 2.1 0.679997682571411 1 0 -1 0 0.01952463 0.01990165 0.02028212 0.02097416 0.02137364 1000 0.01952463 0.01990165 0.02028212 0.02097416 0.02137364 1000 0.02129445 0.0210952 0.02017907 0.02084633 0.02132866 1000 0.02129445 0.0210952 0.02017907 0.02084633 0.02132866 1000
lala 1 1.2 0 second 12 1 5 4 2.64 0.979997396469116 0 0 -1 1 0.02284035 0.02307053 0.02334787 0.02366496 0.02401156 1000 0.02284035 0.02307053 0.02334787 0.02366496 0.02401156 1000 0.0233578 0.02367825 0.02437638 0.02418927 0.02431011 1000 0.0233578 0.02367825 0.02437638 0.02418927 0.02431011 1000
lala 1 1.2 1 first 11 1 6 6 7.98 0.639997720718384 1 1 1 1 0.01157494 0.0001638345 -0.006270665 1000 1000 1000 0.01157494 0.0001638345 -0.006270665 1000 1000 1000 -0.004087824 -0.003896469 -0.003806401 -0.002639828 -0.0009658855 1000 -0.004087824 -0.003896469 -0.003806401 -0.002639828 -0.0009658855 1000
lala 1 1.2 1 second 3 1 7 5 6.65 0.519997835159302 -1 1 1 1 0.006139565 0.007007793 0.006730829 0.006427189 0.006397343 1000 0.006139565 0.007007793 0.006730829 0.006427189 0.006397343 1000 0.007130108 0.008800729 0.008738169 0.008782148 0.008999109 1000 0.007130108 0.008800729 0.008738169 0.008782148 0.008999109 1000
lala 2 1.2 0 second 4 1 8 6 2.76 0.879997491836548 -1 0 -1 1 0.01041331 0.009458368 0.009769366 0.009942588 0.01007229 1000 0.01041331 0.009458368 0.009769366 0.009942588 0.01007229 1000 0.009730293 0.01025144 0.01121263 0.01175657 0.01239504 1000 0.009730293 0.01025144 0.01121263 0.01175657 0.01239504 1000
lala 1 1.2 1 first 7 1 9 4 5.32 0.699997663497925 1 1 1 1 0.0135048 0.01359977 0.01373548 1000 1000 1000 0.0135048 0.01359977 0.01373548 1000 1000 1000 0.01421261 0.01440137 0.01473673 0.01504475 0.01581014 1000 0.01421261 0.01440137 0.01473673 0.01504475 0.01581014 1000
lala 1 1.2 1 first 17 1 10 6 7.98 0.779997587203979 0 1 1 0 0.01714968 0.01735587 0.01824062 1000 1000 1000 0.01714968 0.01735587 0.01824062 1000 1000 1000 0.01817159 0.01786191 0.01842104 0.01917012 0.01998449 1000 0.01817159 0.01786191 0.01842104 0.01917012 0.01998449 1000
lala 1 1.2 0 second 14 1 11 5 3.3 1.37999701499939 0 0 -1 0 0.0211103 0.02038492 0.02059192 0.02079619 0.02056906 1000 0.0211103 0.02038492 0.02059192 0.02079619 0.02056906 1000 0.02074675 0.0211491 0.02156347 0.02245818 0.02195618 1000 0.02074675 0.0211491 0.02156347 0.02245818 0.02195618 1000
lala 1 1.2 0 second 6 1 12 4 2.64 1.33999705314636 1 0 -1 1 0.02240164 0.02236722 0.02172726 0.02206689 0.02268807 1000 0.02240164 0.02236722 0.02172726 0.02206689 0.02268807 1000 0.02464245 0.02420614 0.02428234 0.02460543 0.02475456 1000 0.02464245 0.02420614 0.02428234 0.02460543 0.02475456 1000
lala 2 1.2 0 second 12 1 13 4 3.84 2.159996509552 0 0 -1 0 0.006479969 0.005256261 0.005131225 0.006658255 0.005066893 1000 0.006479969 0.005256261 0.005131225 0.006658255 0.005066893 1000 0.009759255 0.009610743 0.009971684 0.009338536 0.01006383 1000 0.009759255 0.009610743 0.009971684 0.009338536 0.01006383 1000
lala 2 1.2 1 second 14 1 14 5 4.5 2.43999624252319 0 0 1 1 0.01380335 0.01363019 0.01337191 0.01423955 0.01474466 1000 0.01380335 0.01363019 0.01337191 0.01423955 0.01474466 1000 0.01516912 0.01524003 0.01551081 0.01596261 0.01509741 1000 0.01516912 0.01524003 0.01551081 0.01596261 0.01509741 1000
lala 3 1.2 1 first 14 1 15 5 3.3 1.93999671936035 0 0 1 1 0.01794681 0.01743336 0.01683003 1000 1000 1000 0.01794681 0.01743336 0.01683003 1000 1000 1000 0.02007141 0.01928312 0.01993102 0.02016296 0.02048243 1000 0.02007141 0.01928312 0.01993102 0.02016296 0.02048243 1000
lala 2 1.2 1 first 3 1 16 5 5.45 1.23999714851379 -1 1 1 0 0.0217352 0.0216838 0.02146923 1000 1000 1000 0.0217352 0.0216838 0.02146923 1000 1000 1000 0.02237073 0.02193249 0.02125406 0.02198949 0.02216394 1000 0.02237073 0.02193249 0.02125406 0.02198949 0.02216394 1000
lala 2 1.2 0 first 0 1 17 4 3.84 1.91999673843384 -1 0 -1 1 0.02430128 0.02410501 0.02433479 1000 1000 1000 0.02430128 0.02410501 0.02433479 1000 1000 1000 0.02462004 0.02462542 0.02459725 0.02462091 0.02508276 1000 0.02462004 0.02462542 0.02459725 0.02462091 0.02508276 1000
lala 3 1.2 1 first 12 1 18 4 5.04 1.31999707221985 0 0 1 0 0.01369422 0.01228039 0.01244023 1000 1000 1000 0.01369422 0.01228039 0.01244023 1000 1000 1000 0.01339192 0.01146032 0.009002254 0.006397999 0.005731816 1000 0.01339192 0.01146032 0.009002254 0.006397999 0.005731816 1000
lala 1 1.2 1 second 1 1 19 4 5.32 2.61999607086182 -1 1 1 0 -0.01966796 -0.02170086 -0.02439912 -0.02487628 -0.0287324 1000 -0.01966796 -0.02170086 -0.02439912 -0.02487628 -0.0287324 1000 0.004114562 0.01988575 0.0237478 0.02053211 0.01695898 1000 0.004114562 0.01988575 0.0237478 0.02053211 0.01695898 1000
lala 3 1.2 1 first 3 1 20 5 4.25 0.839997529983521 -1 1 1 1 0.01043722 0.008063434 0.007047505 1000 1000 1000 0.01043722 0.008063434 0.007047505 1000 1000 1000 0.01050027 0.01043637 0.01114076 0.01157811 0.01206143 1000 0.01050027 0.01043637 0.01114076 0.01157811 0.01206143 1000
lala 2 1.2 0 second 1 1 21 4 4.12 3.55999517440796 -1 1 -1 1 0.01029995 0.009969657 0.009154008 0.009455928 0.00952106 1000 0.01029995 0.009969657 0.009154008 0.009455928 0.00952106 1000 0.01084561 0.01099125 0.01091603 0.01143792 0.01093529 1000 0.01084561 0.01099125 0.01091603 0.01143792 0.01093529 1000
lala 1 1.2 1 first 10 1 22 6 3.96 1.15999722480774 1 0 1 1 0.01261188 0.01325456 0.01321018 1000 1000 1000 0.01261188 0.01325456 0.01321018 1000 1000 1000 0.01324873 0.01308602 0.01352875 0.01339475 0.01319805 1000 0.01324873 0.01308602 0.01352875 0.01339475 0.01319805 1000
lala 1 1.2 0 first 16 1 23 6 3.96 0.979997396469116 0 0 -1 1 0.01250181 0.01177789 0.01252985 1000 1000 1000 0.01250181 0.01177789 0.01252985 1000 1000 1000 0.01517312 0.01470931 0.01487007 0.0148889 0.01483639 1000 0.01517312 0.01470931 0.01487007 0.0148889 0.01483639 1000
