trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 15.96018 -3.5 0.55 0 0.005015373 0.007471541 0.008979746 0.01057696 0.01233097 1000 -0.009868636 -0.03426275 -0.03451947 -0.02196673 -0.01163896 1000
2 0.18 3.5 0.65 0 0.002835128 0.002619841 0.002203687 0.001850446 0.001727539 1000 0.003060502 0.002921816 0.002333746 0.002647562 0.003927018 1000
3 2.139999 -4.5 0.65 0 0.0005441367 0.0001833713 -0.0002837343 -0.0001896332 0.0004127657 1000 0.004493663 0.003936877 0.003751823 0.003656728 0.003934866 1000
4 1.399999 -3.5 0.65 0 -0.0005333151 -0.0003770525 -0.0003980651 -0.000134051 0.0006705986 1000 0.005677246 0.005046229 0.004485391 0.004949189 0.004865224 1000
5 0.52 2.5 0.45 0 -0.01327946 -0.04767614 -0.0482254 -0.0182073 -0.01798031 1000 0.002453287 -0.003291611 -0.001472984 0.01037079 0.01562743 1000
6 1.02 -2.5 0.65 0 -0.0187643 -0.01868891 -0.01825108 -0.01709394 -0.01648979 1000 0.009390699 0.008678893 0.008142857 0.00816187 0.007786941 1000
7 0.14 4.5 0.45 0 -0.01448903 -0.01439943 -0.01483951 -0.01514075 -0.01524794 1000 0.004428191 0.004873607 0.004602944 0.004185956 0.004653584 1000
8 0.4400001 3.5 0.55 0 -0.0162455 -0.01568847 -0.0151287 -0.01490532 -0.0147736 1000 0.0049696 0.005448883 0.005193453 0.004652382 0.004573321 1000
9 0.6799999 -4.5 0.55 0 -0.01569774 -0.01595643 -0.01593319 -0.01535683 -0.01515264 1000 0.005387509 0.005808773 0.006318878 0.006338196 0.005574226 1000
10 0.22 -3.5 0.45 0 -0.01642526 -0.01663537 -0.01653785 -0.01665681 -0.01671056 1000 0.006849629 0.007014622 0.006652344 0.006356436 0.006310497 1000
11 0.14 3.5 0.45 0 -0.01781702 -0.01766324 -0.01747382 -0.01709312 -0.01688503 1000 0.006890967 0.006720935 0.005985515 0.006266287 0.007258703 1000
12 0.7399998 4.5 0.65 0 -0.01798604 -0.01763691 -0.01762349 -0.01772236 -0.01748823 1000 0.007809761 0.007181143 0.00694505 0.007270277 0.007945065 1000
13 0.32 -2.5 0.55 0 -0.0178636 -0.01780131 -0.01776847 -0.01713879 -0.017182 1000 0.007276311 0.007109421 0.00754749 0.007396106 0.006872375 1000
14 0.58 2.5 0.65 0 -0.01788907 -0.01731089 -0.01701489 -0.0171432 -0.01755828 1000 0.007833377 0.007829934 0.007367247 0.007046173 0.007578654 1000
15 0.6 2.5 0.55 0 -0.01862444 -0.01808532 -0.017727 -0.01745268 -0.01702738 1000 0.007990015 0.007193096 0.00724129 0.008021964 0.007571336 1000
16 0.58 -4.5 0.45 0 -0.01881891 -0.0187043 -0.01854786 -0.01825258 -0.01776653 1000 0.005573641 0.005764544 0.006309309 0.006237904 0.005764624 1000
17 0.6399999 4.5 0.55 0 -0.0193366 -0.01890806 -0.01822094 -0.01817085 -0.01819207 1000 0.006652054 0.007376082 0.006996682 0.006237208 0.0064213 1000
18 0.28 -2.5 0.45 0 -0.01972642 -0.01957685 -0.01915278 -0.01849548 -0.01877132 1000 0.006137655 0.005558697 0.005697135 0.006121103 0.005573672 1000
