trial Response_Time velH Occlusion_Duration AdjustByVelHInitial AdjustmentVelH DurationAdjustment
113 0.9399996 6 0.6 3.6 4.399998 5.899995
114 0.8999997 -8 0.5 -1.2 -4.599999 2.279998
115 0.9199997 -6 0.6 -2 -4.000004 2.939997
116 0.6399999 -8 0.5 -2.6 -4.899994 3.179997
117 0.56 4 0.5 3.2 4.500002 3.839997
118 0.6399999 -4 0.7 0.4 -4.799999 2.639998
119 0.6199999 -4 0.7 2.4 -3.699998 2.139998
120 0.7799998 8 0.7 -3 3.300002 1.979998
121 0.8599997 -8 0.5 3.2 -4.8 1.359999
122 0.7999998 -8 0.5 2 -4.900001 2.359998
123 0.9399996 6 0.6 -0.2 3.100003 2.019998
124 1.02 -6 0.6 2.8 -3.2 1.479999
125 0.9599996 -6 0.6 1.8 -4.2 1.219999
126 0.8399997 6 0.6 1.4 3.700004 1.999998
127 0.7599998 6 0.6 2.2 5.000002 1.959998
128 0.7199998 -6 0.6 -2.8 -3.400002 3.159997
129 1.08 8 0.7 -2 5.000001 1.819999
130 0.9799996 -6 0.6 1 -5 0.9999992
131 1.179999 8 0.7 -1 3.900003 1.659999
132 0.9399996 -8 0.5 0.2 -4.500003 1.899998
133 0.58 -4 0.7 4 -5.199997 2.919997
134 0.9599996 8 0.7 3.6 4.79999 2.979997
135 0.7399998 -4 0.7 -1.2 -3.600001 2.079998
136 1.479999 -6 0.6 2.6 -7.099997 2.019998
137 1.219999 8 0.7 -1.6 3.500003 2.099998
138 1.319999 6 0.6 3.4 3.899999 4.179996
139 0.8799997 4 0.5 -3.8 5.699997 4.399996
140 1.199999 -8 0.5 -3 -5.799991 2.479998
141 0.7199998 -4 0.7 -1.8 -7.499999 2.019998
142 1.359999 8 0.7 1.2 9.2 0.6599995
143 2.479998 -6 0.6 -3.2 -8.399997 4.599996
144 1.259999 -6 0.6 -1 -7.3 3.479997
145 0.7199998 4 0.5 0.6 7.299997 3.279997
146 1.199999 8 0.7 2.6 6.299993 3.499997
147 1.379999 6 0.6 4 3.599997 3.739997
148 1.159999 -6 0.6 -3.2 -3.8 2.499998
149 1.12 6 0.6 1 4.000003 1.799999
150 1.08 -8 0.5 -2.6 -5.699993 3.439997
151 0.4600001 12 0.2 -6 10.60001 2.159998
152 0.7799998 -8 0.5 -3.6 -4.89999 3.539997
153 0.9799996 -6 0.6 1.4 -4.6 1.319999
154 0.9399996 -6 0.6 -1 -5.000002 1.939998
155 1.02 8 0.7 -1.2 4.600002 1.779999
156 0.9799996 6 0.6 2.8 4.800001 1.959998
157 0.9599996 8 0.7 -1 5.000002 2.699998
158 1.02 6 0.6 -1.2 6.299999 1.619999
159 1.219999 -6 0.6 0 -6 1.619999
160 0.36 -12 0.2 6 -10.00001 1.999998
161 0.7599998 4 0.5 0.2 8.099997 2.499998
162 0.7399998 4 0.5 -0.2 3.8 1.519999
163 1.04 6 0.6 -2.4 3.6 1.079999
164 0.8199998 4 0.5 -1.6 5.799997 1.719999
165 0.7399998 -8 0.5 -3.8 -5.899988 2.199998
166 0.7599998 -8 0.5 2.2 -5.8 1.179999
167 0.8799997 8 0.7 2.8 4.599993 2.299998
168 0.56 -4 0.7 -3.2 -5.100002 1.779999
169 0.58 4 0.5 3 7 0.8999993
170 0.6399999 -4 0.7 2.6 -7.599995 2.619998
171 0.6199999 -4 0.7 3.8 -7.999995 2.739998
172 0.7799998 -6 0.6 3.6 -2.4 0.8999993
173 0.7799998 -8 0.5 3.4 -4.6 0.9799992
174 0.7999998 4 0.5 -1 4.999998 2.499998
175 1.06 6 0.6 0.4 4.000002 2.499998
176 0.9399996 -8 0.5 -2.2 -4.799995 2.259998
177 0.6999999 -8 0.5 -0.8 -4.300001 2.239998
178 0.7599998 -8 0.5 0.4 -4.000003 2.459998
179 1.259999 8 0.7 -3 3.200002 1.639999
180 0.6 -4 0.7 -1.8 -5.8 1.099999
181 0.7599998 6 0.6 -1 5 1.259999
182 0.9999996 6 0.6 1.8 4.600003 2.119998
183 0.9999996 6 0.6 1.6 4.900002 1.879998
184 0.9199997 8 0.7 -2.6 5.1 3.399997
185 0.6999999 -4 0.7 0.6 -5.699998 1.939998
186 0.8199998 -4 0.7 -2.6 -5.300001 1.679999
187 0.56 4 0.5 1.4 7.799998 1.599999
188 0.6599999 4 0.5 -0.8 7.499996 2.119998
189 0.7199998 4 0.5 -3 5.899997 2.279998
190 0.8999997 6 0.6 -3.4 6.299996 2.159998
191 1.259999 8 0.7 2 5.199996 2.399998
192 1.06 -6 0.6 -2.2 -3.400004 2.459998
193 1.06 -8 0.5 -3.4 -4.99999 2.779998
194 0.8799997 -8 0.5 -3.6 -6.099989 2.339998
195 0.8999997 -4 0.7 4 -7.399995 3.099997
196 1.1 8 0.7 3.8 7.199987 2.079998
197 0.7599998 1 1 5 1.300004 4.519996
198 0.9399996 8 0.7 -0.2 3.800004 2.259998
199 0.8599997 4 0.5 -2.2 5.399997 2.139998
200 1.1 6 0.6 -3.8 5.499997 2.179998
201 0.9399996 4 0.5 -0.6 5.799998 2.279998
202 0.7799998 -4 0.7 -0.2 -4.2 0.9999992
203 0.7199998 4 0.5 0.2 4.2 0.7999994
204 0.9199997 -6 0.6 -2 -4.300004 2.539998
205 0.8799997 4 0.5 -3.6 5.499997 2.359998
206 1.419999 8 0.7 1.6 5.699997 1.979998
207 1.179999 -8 0.5 -1.8 -6.799995 2.299998
208 0.9799996 -4 0.7 2.6 -4.699998 5.239995
209 0.9799996 -8 0.5 -1.4 -5.699997 1.879998
210 1.04 1 1 5 1.500004 2.419998
211 0.9199997 4 0.5 -2.2 4.499998 1.859998
212 0.7999998 -6 0.6 -4 -3.999997 2.799998
213 0.8799997 4 0.5 2.2 2.300004 1.979998
214 1.12 -8 0.5 -2.6 -3.299995 2.999997
215 1.339999 8 0.7 -4 4 0.9599992
216 0.9599996 -8 0.5 3.6 -4.4 1.039999
217 0.9399996 -6 0.6 -0.8 -4.400002 2.059998
218 0.9999996 6 0.6 -2.8 3.2 1.159999
219 0.8999997 -8 0.5 2 -6 0.9399992
220 0.7999998 -4 0.7 -1 -5 0.7999994
221 0.7399998 -6 0.6 3.8 -5.799997 1.919998
222 0.6399999 4 0.5 -2.2 5.699996 2.059998
223 1.239999 8 0.7 3.6 3.999991 4.079997
224 1.04 -6 0.6 -3.2 -4.499999 2.759998
225 0.9799996 4 0.5 -0.6 6.299997 1.999998
226 1.159999 -8 0.5 -1.4 -4.699998 2.059998
227 1.02 4 0.5 1 5 1.279999
228 0.8799997 4 0.5 2.6 3.900002 1.419999
229 0.9599996 -4 0.7 3.8 -5.899997 2.359998
230 1.199999 8 0.7 -3.8 4.2 1.299999
231 1.179999 -8 0.5 2.2 -7.199999 2.679998
232 0.8799997 4 0.5 -1.2 6.899996 2.019998
233 1.219999 -4 0.7 -2 -6 1.559999
234 1.12 -8 0.5 1.6 -3.900002 2.159998
235 1.239999 8 0.7 0.2 4.500003 2.059998
236 1.1 6 0.6 0.6 3.400003 1.839998
237 1.199999 -8 0.5 3 -2.700002 1.539999
238 0.8599997 4 0.5 1.8 6.799999 1.239999
239 0.6199999 -4 0.7 0 -5.199999 1.319999
240 1.14 8 0.7 -1.2 4.600002 1.559999
241 0.8599997 -8 0.5 -0.2 -4.500003 1.579999
242 0.7999998 -8 0.5 -2 -5.299995 1.999998
243 0.8599997 -4 0.7 0 -5.599998 2.219998
244 0.8799997 -4 0.7 2.6 -5.399997 2.019998
245 0.9999996 -6 0.6 3.2 -5.999997 2.039998
246 1.04 -4 0.7 -3.8 -4.700003 1.699999
247 0.9799996 4 0.5 0 6.299998 1.759999
248 1.159999 8 0.7 3.4 5.39999 2.539998
249 1.06 6 0.6 1.8 5.300003 2.919997
250 1.399999 8 0.7 2 5.099996 2.759998
251 1.14 4 0.5 -2.4 5.299997 3.039997
252 1.239999 8 0.7 -1.2 4.500002 1.979998
253 1.219999 8 0.7 -1.6 4.800002 1.939998
254 1.439999 8 0.7 0.6 6.1 1.539999
255 0.7799998 4 0.5 4 5.100003 2.039998
256 1.159999 6 0.6 2.4 5.200001 2.099998
257 0.8399997 -4 0.7 3.6 -4.999998 2.259998
258 0.9999996 4 0.5 0.8 4.7 2.219998
259 0.8599997 -4 0.7 -2.8 -4.100003 1.499999
260 0.8999997 -1 1 -5 -1.400004 2.139998
261 0.9399996 4 0.5 -3.6 4.599998 1.939998
262 0.8799997 4 0.5 3.4 3.800004 2.459998
263 1.479999 8 0.7 -0.2 4.300004 2.939997
264 1.539999 -6 0.6 0 -2.600003 2.659998
265 1.399999 -4 0.7 3 -4.399998 1.939998
266 1.319999 -6 0.6 3.2 -4.199999 2.099998
267 1.159999 6 0.6 -0.2 4.500001 1.979998
268 1.179999 -6 0.6 1.2 -3.000002 1.659999
269 0.6799999 4 0.5 -2 6.299996 1.759999
270 0.7199998 -6 0.6 0 -3.500002 1.459999
271 0.6799999 -4 0.7 1.4 -4.299998 1.719999
272 0.8199998 -4 0.7 4 -5.299997 2.499998
273 0.8999997 -6 0.6 -3.4 -4.799998 2.059998
274 0.7799998 -4 0.7 0.6 -5.399998 1.819999
275 0.6399999 4 0.5 2.4 4.700002 1.759999
276 0.9199997 -6 0.6 1 -5 1.399999
277 0.8799997 6 0.6 2.2 4.500003 3.079997
