trial Response Correct Target ReactionTime
1 1 0 2 1.02
2 1 1 1 2.819998
3 1 0 2 2.959998
4 1 0 2 6.639995
5 1 0 2 3.719997
6 1 1 1 4.979996
7 1 1 1 7.979993
8 2 0 1 2.059999
9 1 0 2 2.619998
10 1 1 1 3.019998
11 2 1 2 3.799997
12 1 0 2 4.179997
13 2 0 1 3.419997
14 1 0 2 3.099998
15 2 0 1 2.419998
16 1 1 1 1.659999
17 1 1 1 5.259996
18 1 1 1 3.219998
19 1 1 1 5.059996
20 2 1 2 2.459998
20 2 1 2 2.459998
