trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.32 -2.5 0.45 0 -0.007906865 -0.008557901 -0.008817811 -0.005377956 -0.002933069 1000 -0.002221862 0.0002655968 0.0001073406 0.001679583 0.001903072 1000
2 0.28 3.5 0.55 0 -0.002825188 -0.003268487 -0.00341989 -0.00395642 -0.004167966 1000 0.0002730437 0.0006423162 0.0003982086 6.775802E-05 0.0004378888 1000
3 0.32 -4.5 0.45 0 -0.002761411 -0.003427328 -0.005781048 -0.005298762 -0.004331587 1000 0.0005136603 9.988983E-05 -0.0005793603 -0.0004284358 -0.001040247 1000
4 0.52 4.5 0.45 0 -0.003136878 -0.003101041 -0.002801506 -0.0025745 -0.002785641 1000 -0.0004071818 -0.0003952942 5.950503E-05 -0.0002398404 -0.0003979462 1000
5 0.34 -3.5 0.55 0 -0.00646778 -0.005623015 -0.00537935 -0.005249288 -0.004732245 1000 -0.0006620623 -0.0022916 -0.001830132 -0.001470175 -0.001746176 1000
6 0.28 -2.5 0.55 0 -0.008135499 -0.006828643 -0.005944031 -0.006444637 -0.006995509 1000 0.0002172195 1.205056E-05 -0.0001421011 -0.0002418954 -0.0006791287 1000
7 0.38 2.5 0.45 0 -0.01779925 -0.018605 -0.01807179 -0.01799577 -0.01735362 1000 -0.01745935 -0.01346197 0.007246996 0.002786134 0.0005627942 1000
8 0.8799997 4.5 0.65 0 -0.01299171 -0.01404004 -0.01458111 -0.01398433 -0.01329119 1000 -0.005225284 -0.004587851 -0.004341448 -0.004015281 -0.004281503 1000
9 0.3 -3.5 0.45 0 0.009759187 0.003654191 0.001903346 0.003337017 0.005376477 1000 -0.01899963 -0.04137504 -0.03835587 -0.02936282 -0.02461505 1000
10 0.38 -3.5 0.65 0 0.006462473 0.008046502 0.007938253 0.007817075 0.007456296 1000 -0.007571254 -0.007390287 -0.008163454 -0.007374281 -0.006729505 1000
11 0.52 2.5 0.65 0 -0.002521409 -0.003998797 -0.00309169 -0.00234165 -0.001852758 1000 0.007115282 0.00467342 0.004564815 0.004943023 0.001063621 1000
12 0.8199998 4.5 0.55 0 -0.004725249 -0.005319143 -0.005327212 -0.004340012 -0.004211362 1000 0.002772648 0.002630305 0.003314724 0.003202589 0.00255845 1000
13 0.6799999 -4.5 0.55 0 0.001854707 0.002335879 0.0008959497 0.000883908 0.001580022 1000 0.009850792 0.008595837 0.008397768 0.008151777 0.007374634 1000
14 0.34 2.5 0.55 0 -0.0005015327 -0.0005674436 2.738925E-05 -0.0003997149 -0.000282203 1000 0.006597317 0.007107469 0.007495721 0.007543588 0.007222653 1000
15 0.7599998 -4.5 0.65 0 -0.001194738 -0.001882634 -0.002067019 -0.001888431 -0.001243158 1000 0.008143423 0.007013101 0.006991168 0.007212193 0.007534953 1000
16 0.54 3.5 0.65 0 -0.001594173 -0.001507542 -0.0009840425 -0.0009580043 -0.001428102 1000 0.004258029 0.002616485 0.001989938 0.003136616 0.002557183 1000
17 0.54 -2.5 0.65 0 -0.001708319 -0.001437819 -0.001275942 -0.001202429 -0.001313914 1000 0.004619498 0.003530516 0.003605592 0.003807988 0.004185711 1000
18 0.56 3.5 0.45 0 -0.00233194 -0.00192872 -0.002134115 -0.002603452 -0.002560742 1000 0.006046242 0.005647269 0.005891275 0.005614687 0.00534024 1000
