trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.36 -3.5 0.45 0 0.007933449 0.01069823 0.009084458 0.005681886 0.005662368 1000 -0.004821394 -0.00387015 -0.006373998 -0.007033214 -0.002370218 1000
2 0.24 3.5 0.65 0 0.01380975 0.01490856 0.01406626 0.01299428 0.01054782 1000 -0.01171149 -0.01324719 -0.01345521 -0.01422801 -0.01560685 1000
3 0.8199998 -2.5 0.55 0 0.009610918 0.008913706 0.008428034 0.007695688 0.008026614 1000 -0.009571955 -0.009985047 -0.007801841 -0.007294608 -0.007717069 1000
4 0.4600001 -3.5 0.55 0 0.004631432 0.004943614 0.004547842 0.004555541 0.00458751 1000 -0.01308152 -0.01328018 -0.01362079 -0.01437754 -0.01457704 1000
5 0.5000001 -4.5 0.55 0 0.00285544 0.002655274 0.00360577 0.004238246 0.004172696 1000 -0.01568604 -0.0150222 -0.01519006 -0.01475436 -0.01480222 1000
6 0.38 4.5 0.45 0 0.003146815 0.002796008 0.003082917 0.003210155 0.002932043 1000 -0.0106016 -0.01208509 -0.01230237 -0.01296814 -0.01320334 1000
7 0.4800001 -3.5 0.65 0 0.0006324082 -0.0006673746 -0.003151882 -0.003838088 -0.00240723 1000 -0.0116662 -0.01102422 -0.009856216 -0.008932631 -0.008500518 1000
8 0.5000001 3.5 0.45 0 -0.01390547 -0.01624644 -0.02014318 -0.02194769 -0.02394582 1000 -0.006930432 -0.007161127 -0.008258996 -0.006175742 -0.001605082 1000
9 0.4600001 2.5 0.65 0 -0.02227222 -0.019703 -0.01877437 -0.01870958 -0.01968206 1000 0.003329994 0.004574877 0.006388098 0.007805769 0.007573959 1000
10 0.56 -2.5 0.45 0 -0.02305731 -0.02396486 -0.02613235 -0.02967663 -0.03177432 1000 0.003269349 0.001754261 0.001408315 0.004322328 0.005506413 1000
11 0.4800001 3.5 0.55 0 -0.01817963 -0.007703789 -0.0009021044 0.0004051415 -0.001166046 1000 -0.0001291094 0.0005444154 -2.776059E-05 -0.001338985 -0.001138563 1000
12 0.7599998 -4.5 0.65 0 -0.01076845 -0.01141518 -0.01150658 -0.01202485 -0.01198374 1000 -0.002626995 -0.002039568 -0.00241404 -0.002029853 -0.002447232 1000
13 0.42 2.5 0.55 0 -0.01298827 -0.01314604 -0.01229052 -0.01255856 -0.01264609 1000 -0.002385099 -0.002927113 -0.004039415 -0.004575588 -0.003944689 1000
14 0.6199999 4.5 0.65 0 -0.01580796 -0.01607523 -0.01694478 -0.01666825 -0.01519039 1000 -0.003224524 -0.00401602 -0.005880921 -0.007348762 -0.007675297 1000
15 0.42 2.5 0.45 0 -0.01729797 -0.01707336 -0.01580457 -0.01593276 -0.0169444 1000 -0.003060008 -0.004808818 -0.003848055 -0.003280074 -0.003023653 1000
16 0.5000001 4.5 0.55 0 -0.01827973 -0.01914631 -0.01894574 -0.01870289 -0.01841999 1000 -0.001873141 -0.00208895 -0.001109808 -0.001822757 -0.002949425 1000
17 0.5000001 -4.5 0.45 0 -0.01427622 -0.01456327 -0.01545195 -0.01598625 -0.01653151 1000 -0.008826995 -0.008593278 -0.00803281 -0.00719543 -0.006868173 1000
18 0.4 -2.5 0.65 0 -0.02031543 -0.02138637 -0.02075835 -0.0195113 -0.01969092 1000 -0.003627807 -0.004398652 -0.005646778 -0.004209231 -0.003506404 1000
