trial Response_Time velH Occlusion_Duration velH_Subject
1 0.4800001 -8 0.5 0
2 0.6599999 -6 0.6 0
3 0.3 -4 0.7 0
4 1.02 6 0.6 0
5 0.54 4 0.5 0
6 0.8599997 -6 0.6 0
7 0.6399999 6 0.6 0
8 0.58 4 0.5 0
9 1.12 -8 0.7 0
10 0.6799999 -6 0.6 0
11 0.4400001 4 0.5 0
12 0.8799997 8 0.7 0
13 0.6599999 4 0.7 0
14 0.9199997 -6 0.6 0
15 0.52 -8 0.5 0
16 0.8799997 8 0.7 0
17 0.52 4 0.7 0
18 0.54 8 0.5 0
