trial Response_Time velH Occlusion_Duration velH_Subject
1 1.359999 -8 0.7 0
2 0.36 -4 0.7 0
3 0.8599997 -8 0.7 0
4 0.36 4 0.5 0
5 0.6399999 6 0.6 0
6 0.4800001 -4 0.5 0
7 0.7799998 -8 0.5 0
8 0.6199999 8 0.5 0
9 0.4800001 -6 0.6 0
10 0.6199999 6 0.6 0
11 0.6999999 8 0.7 0
12 0.6199999 -4 0.7 0
13 0.6599999 8 0.5 0
14 0.4800001 -6 0.6 0
15 0.54 -4 0.7 0
16 0.7799998 6 0.6 0
17 0.6199999 6 0.6 0
18 0.56 4 0.5 0
