trial Response Correct Target ReactionTime
1 1 1 1 5.539996
2 2 1 2 17.90022
3 1 1 1 3.239998
4 1 1 1 5.199996
5 1 1 1 6.299995
6 1 0 2 5.279996
7 1 0 2 6.899994
8 2 1 2 11.48007
9 1 0 2 6.799994
10 1 1 1 9.560029
11 2 1 2 12.6401
12 1 0 2 5.079996
13 1 1 1 3.079998
14 1 1 1 2.259999
15 1 0 2 6.899994
16 2 0 1 4.159997
17 1 1 1 5.699996
18 1 0 2 4.719996
19 2 1 2 6.979994
20 1 0 2 3.779997
20 1 0 2 3.779997

