trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 1.319999 -3.5 0.65 0 -0.01300482 -0.01018475 -0.01062546 -0.007847306 -0.005448651 1000 0.002107034 -0.00100479 -0.002892094 -0.006719769 -0.008269344 1000
2 2.339998 -3.5 0.45 0 -0.01757975 -0.03537265 -0.04521219 -0.04290368 -0.03586163 1000 -0.001127314 0.002698685 0.007457238 0.006978325 0.00383888 1000
3 0.06 -2.5 0.65 0 -0.01446475 -0.01137457 -0.009620248 -0.001266029 0.01054962 1000 0.01416651 0.01467597 0.01278148 0.006858625 0.005207883 1000
4 0.02 -4.5 0.45 0 -0.012867 -0.007963094 -0.003678926 -0.003652969 0.001227165 1000 0.007781854 0.007261782 0.005669972 0.005681172 0.003430255 1000
5 2.679998 -3.5 0.55 0 -0.01856275 -0.008660797 -0.006087683 -0.006672435 -0.006196621 1000 0.007578757 0.00476897 0.003965477 0.005138047 0.004510683 1000
6 1.259999 3.5 0.45 0 -0.02188643 -0.02234349 -0.02287034 -0.02302329 -0.0234621 1000 0.00444887 0.005841199 0.006673608 0.004842638 0.005695649 1000
7 0.02 2.5 0.45 0 0.01659682 0.01158004 0.009820497 0.007943188 0.003935621 1000 0.003392853 0.004893498 0.004290767 0.003350254 0.005559523 1000
8 0.38 4.5 0.45 0 -0.01148444 -0.01297084 -0.01355364 -0.009705402 -0.002297678 1000 0.005838537 0.006257593 0.007313612 0.008732761 0.01163052 1000
9 0.36 2.5 0.65 0 -0.009948767 -0.009744924 -0.0104314 -0.01049455 -0.01084064 1000 0.01052316 0.01094897 0.01119561 0.01230813 0.01228741 1000
10 0.32 3.5 0.55 0 -0.009460338 -0.01026028 -0.01127938 -0.01149568 -0.01054254 1000 0.008832499 0.009135052 0.01093725 0.01194222 0.0115416 1000
11 0.38 4.5 0.65 0 -0.01392126 -0.01351375 -0.01282846 -0.0105 -0.007965477 1000 0.01304765 0.01289689 0.01360744 0.01521761 0.01665456 1000
12 0.34 4.5 0.55 0 -0.007351104 -0.008495325 -0.009232612 -0.008639504 -0.007903466 1000 0.01085975 0.008756473 0.0102514 0.01122973 0.01251501 1000
13 0.54 -4.5 0.65 0 -0.006119519 -0.006080254 -0.006944604 -0.005471688 -0.005552788 1000 0.02416794 0.03011685 0.03429737 0.03428746 0.0324864 1000
14 0.32 3.5 0.65 0 -0.00823789 -0.008116345 -0.007138669 -0.007161453 -0.008090982 1000 0.005852849 0.006439441 0.0062018 0.005937284 0.006718975 1000
15 0.38 2.5 0.55 0 -0.005848525 -0.005135831 -0.005376882 -0.006206976 -0.006760623 1000 0.005947675 0.00698963 0.005540828 0.004279246 0.005910015 1000
16 0.38 -2.5 0.45 0 -0.008248271 -0.007788593 -0.00746712 -0.007049433 -0.006219765 1000 0.004699121 0.004662022 0.005032115 0.005625635 0.004679818 1000
17 0.38 -2.5 0.55 0 -0.008913 -0.01004111 -0.01023779 -0.009290921 -0.007524312 1000 0.007568019 0.006790384 0.007507925 0.008682738 0.008181771 1000
18 0.56 -4.5 0.55 0 -0.006259886 -0.006630528 -0.00731466 -0.007294363 -0.008215206 1000 0.008377784 0.008261232 0.008791557 0.007970222 0.006517041 1000
