trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 1.939999 -4.5 0.65 0 -0.0170992 -0.01174785 -0.0114765 -0.01186344 -0.01219882 1000 -0.003616853 -0.001275894 -0.0001916442 -0.002480182 -0.003742417 1000
2 0.2 -3.5 0.45 0 -0.01171953 -0.01018811 -0.008530465 -0.007322943 -0.007764242 1000 -0.01049548 -0.01136303 -0.01236479 -0.01291521 -0.0127913 1000
3 1.159999 2.5 0.55 0 -0.01116655 -0.01080692 -0.0105125 -0.01082372 -0.01084681 1000 -0.01162059 -0.01120062 -0.01028046 -0.007816986 -0.00702767 1000
4 0.52 3.5 0.45 0 -0.0107519 -0.008704974 -0.003944218 0.0003965903 0.002741494 1000 0.002894994 0.0229332 0.03717799 0.03061117 0.019741 1000
5 1.06 -3.5 0.55 0 -0.004362405 -0.004844477 -0.00520447 -0.005106422 -0.005486161 1000 0.01346079 0.01336999 0.01312121 0.01314106 0.01329009 1000
6 0.22 -2.5 0.65 0 -0.00678143 -0.006719064 -0.006956708 -0.00687879 -0.007265587 1000 0.01338975 0.01337672 0.01350799 0.01288585 0.01337721 1000
7 0.4 2.5 0.45 0 -0.008137575 -0.007700767 -0.008979706 -0.01139252 -0.01074845 1000 0.01444418 0.01421562 0.01382347 0.01369787 0.01293381 1000
8 0.8599997 -2.5 0.55 0 -0.01399876 -0.0138492 -0.01380208 -0.01408086 -0.01402098 1000 0.01271975 0.01307812 0.01296006 0.01296398 0.01290191 1000
9 0.38 2.5 0.65 0 -0.01700308 -0.01706282 -0.01704979 -0.01718443 -0.01725171 1000 0.01365962 0.01356904 0.01331328 0.0132047 0.01315795 1000
10 0.6599999 4.5 0.65 0 -0.01893885 -0.01922022 -0.01898301 -0.01877109 -0.01889868 1000 0.01408054 0.01443949 0.01443176 0.01438295 0.01450185 1000
11 0.28 -4.5 0.55 0 -0.02105725 -0.0209435 -0.02108487 -0.0212463 -0.02119289 1000 0.01203559 0.01203353 0.01274612 0.01285182 0.01252829 1000
12 0.4600001 -4.5 0.45 0 -0.02216947 -0.02183108 -0.02193401 -0.02218266 -0.02241009 1000 0.01748669 0.01730821 0.01784866 0.01749308 0.01739831 1000
13 0.36 3.5 0.55 0 -0.02317434 -0.02287696 -0.02225878 -0.0221483 -0.02262383 1000 0.01867425 0.01845776 0.01822783 0.01775981 0.01761846 1000
14 0.58 4.5 0.45 0 -0.02449067 -0.02412477 -0.02445502 -0.0247413 -0.02451645 1000 0.004512437 0.005016361 0.006314644 0.007439784 0.007785197 1000
15 1.279999 4.5 0.55 0 -0.01553663 -0.007761893 -0.003790398 -0.004117931 -0.006227145 1000 0.007245199 0.00531624 0.00583895 0.006183048 0.005765154 1000
16 0.4400001 3.5 0.65 0 -0.004853431 -0.005013054 -0.004723008 -0.004384394 -0.004717992 1000 0.009137752 0.009190803 0.009178842 0.009137567 0.009282654 1000
17 0.7199998 -2.5 0.45 0 -0.005546868 -0.004582649 -0.004486305 -0.004460939 -0.004817769 1000 0.00872421 0.008380092 0.008585774 0.008809175 0.008531776 1000
18 0.56 -3.5 0.65 0 -0.006157796 -0.006106965 -0.00630639 -0.006520024 -0.006305471 1000 0.0100401 0.009914915 0.009916198 0.009377933 0.009203631 1000
