trial Response Correct Target ReactionTime
1 1 1 1 4.359997
2 1 1 1 2.659998
3 2 0 1 1.299999
4 1 1 1 4.219997
5 2 1 2 3.099998
6 2 1 2 1.1
7 1 1 1 1.14
8 2 1 2 1.179999
9 1 1 1 0.8599997
10 2 0 1 5.099996
11 2 1 2 1.199999
12 2 1 2 1.299999
13 2 1 2 0.58
14 1 1 1 2.619998
15 2 0 1 5.959995
16 2 0 1 1.599999
17 2 1 2 1.1
18 2 0 1 3.179998
19 2 1 2 1.919999
20 1 1 1 0.8799997
20 1 1 1 0.8799997
