subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 second 1 1 1 4 5.32 1.05999732017517 -1 1 1 1 -0.001802168 -0.002582377 -0.003088234 -0.002727164 -0.002024899 1000 -0.001802168 -0.002582377 -0.003088234 -0.002727164 -0.002024899 1000 -0.003677244 -0.004392497 -0.0037079 -0.003558519 -0.003847196 1000 -0.003677244 -0.004392497 -0.0037079 -0.003558519 -0.003847196 1000
lala 1 1.2 1 first 11 1 2 6 7.98 0.799997568130493 1 1 1 1 -0.002735507 -0.001236954 -0.001263064 1000 1000 1000 -0.002735507 -0.001236954 -0.001263064 1000 1000 1000 -0.002293054 -0.002596001 -0.003249985 -0.002571773 -0.002492917 1000 -0.002293054 -0.002596001 -0.003249985 -0.002571773 -0.002492917 1000
lala 1 1.2 1 first 3 1 3 5 6.65 1.67999696731567 -1 1 1 0 -0.004771833 -0.006576417 -0.00642739 1000 1000 1000 -0.004771833 -0.006576417 -0.00642739 1000 1000 1000 -0.0156713 -0.01479361 -0.0125177 -0.009587482 -0.005419179 1000 -0.0156713 -0.01479361 -0.0125177 -0.009587482 -0.005419179 1000
lala 1 1.2 1 second 16 1 4 6 3.96 1.37999701499939 0 0 1 1 -0.003796849 -0.00347031 -0.003877528 -0.004494754 -0.003962697 1000 -0.003796849 -0.00347031 -0.003877528 -0.004494754 -0.003962697 1000 -0.005227446 -0.005555217 -0.005777031 -0.005858747 -0.005644016 1000 -0.005227446 -0.005555217 -0.005777031 -0.005858747 -0.005644016 1000
lala 1 1.2 1 first 9 1 5 5 6.65 1.19999718666077 1 1 1 1 -0.006525968 -0.006723792 -0.007148014 1000 1000 1000 -0.006525968 -0.006723792 -0.007148014 1000 1000 1000 -0.007017786 -0.00746496 -0.00622254 -0.006618472 -0.006771601 1000 -0.007017786 -0.00746496 -0.00622254 -0.006618472 -0.006771601 1000
lala 1 1.2 0 first 0 1 6 4 2.64 1.11999726295471 -1 0 -1 1 -0.006636794 -0.006761735 -0.006870039 1000 1000 1000 -0.006636794 -0.006761735 -0.006870039 1000 1000 1000 -0.008684939 -0.008438663 -0.008532681 -0.007901786 -0.006952664 1000 -0.008684939 -0.008438663 -0.008532681 -0.007901786 -0.006952664 1000
lala 2 1.2 1 first 3 1 7 5 5.45 1.91999673843384 -1 1 1 1 -0.007874263 -0.007768427 -0.007896492 1000 1000 1000 -0.007874263 -0.007768427 -0.007896492 1000 1000 1000 -0.008258064 -0.007649986 -0.007523553 -0.00694062 -0.005990807 1000 -0.008258064 -0.007649986 -0.007523553 -0.00694062 -0.005990807 1000
lala 1 1.2 1 first 7 1 8 4 5.32 1.81999683380127 1 1 1 1 -0.01120483 -0.01156783 -0.01043727 1000 1000 1000 -0.01120483 -0.01156783 -0.01043727 1000 1000 1000 -0.008478133 -0.008791691 -0.00790875 -0.006976189 -0.00706341 1000 -0.008478133 -0.008791691 -0.00790875 -0.006976189 -0.00706341 1000
lala 1 1.2 1 second 2 1 9 5 3.3 0.659997701644897 -1 0 1 1 -0.006963251 -0.007296982 -0.007166703 -0.007067193 -0.007068991 1000 -0.006963251 -0.007296982 -0.007166703 -0.007067193 -0.007068991 1000 -0.009741066 -0.00965444 -0.008841302 -0.008514149 -0.00861057 1000 -0.009741066 -0.00965444 -0.008841302 -0.008514149 -0.00861057 1000
lala 1 1.2 1 first 10 1 10 6 3.96 4.41999435424805 1 0 1 0 -0.006832059 -0.006275245 -0.006690157 1000 1000 1000 -0.006832059 -0.006275245 -0.006690157 1000 1000 1000 -0.008772003 -0.009342046 -0.009501854 -0.008543826 -0.00831517 1000 -0.008772003 -0.009342046 -0.009501854 -0.008543826 -0.00831517 1000
lala 2 1.2 0 first 0 1 11 4 3.84 5.05999374389648 -1 0 -1 1 -0.004281069 -0.003710493 -0.00363456 1000 1000 1000 -0.004281069 -0.003710493 -0.00363456 1000 1000 1000 -0.003667159 -0.004450653 -0.004524541 -0.005376939 -0.004382813 1000 -0.003667159 -0.004450653 -0.004524541 -0.005376939 -0.004382813 1000
lala 2 1.2 1 first 9 1 12 5 5.45 0.61999773979187 1 1 1 1 -0.001142307 -0.0009615344 -0.0012103 1000 1000 1000 -0.001142307 -0.0009615344 -0.0012103 1000 1000 1000 -0.000241392 0.0003007363 -0.000124743 -0.0001261 -0.0006893406 1000 -0.000241392 0.0003007363 -0.000124743 -0.0001261 -0.0006893406 1000
lala 1 1.2 0 first 12 1 13 4 2.64 0.659997701644897 0 0 -1 0 -0.0008316667 -0.001523608 -0.001375392 1000 1000 1000 -0.0008316667 -0.001523608 -0.001375392 1000 1000 1000 1.991628E-05 -0.0008405594 -0.0005473171 -0.0004254203 -0.0002150693 1000 1.991628E-05 -0.0008405594 -0.0005473171 -0.0004254203 -0.0002150693 1000
lala 2 1.2 0 second 2 1 14 5 2.1 0.759997606277466 -1 0 -1 1 -0.001147097 -0.001481408 -0.001245545 -0.00110424 -0.000266968 1000 -0.001147097 -0.001481408 -0.001245545 -0.00110424 -0.000266968 1000 -0.0004039466 -0.0001102648 0.0002957637 0.0001004237 -0.0001450088 1000 -0.0004039466 -0.0001102648 0.0002957637 0.0001004237 -0.0001450088 1000
lala 1 1.2 0 first 8 1 15 5 3.3 0.879997491836548 1 0 -1 0 -0.0004780247 -0.0005014296 -0.0009233385 1000 1000 1000 -0.0004780247 -0.0005014296 -0.0009233385 1000 1000 1000 -0.001805696 -0.001187885 -3.408876E-05 -0.001746364 -0.001948672 1000 -0.001805696 -0.001187885 -3.408876E-05 -0.001746364 -0.001948672 1000
lala 3 1.2 1 second 0 1 16 4 5.04 0.739997625350952 -1 0 1 1 0.0120384 0.008479391 0.002027657 0.00236301 0.006513958 1000 0.0120384 0.008479391 0.002027657 0.00236301 0.006513958 1000 0.004697137 0.006110996 0.008372437 0.009080539 0.008616832 1000 0.004697137 0.006110996 0.008372437 0.009080539 0.008616832 1000
lala 2 1.2 0 first 16 1 17 6 2.76 0.279998064041138 0 0 -1 0 0.01162449 0.01237657 0.01375508 1000 1000 1000 0.01162449 0.01237657 0.01375508 1000 1000 1000 0.01250964 0.01148443 0.01143213 0.01185346 0.01188419 1000 0.01250964 0.01148443 0.01143213 0.01185346 0.01188419 1000
lala 1 1.2 0 second 4 1 18 6 3.96 0.639997720718384 -1 0 -1 1 0.009297085 0.01036254 0.01038729 0.01106581 0.01140976 1000 0.009297085 0.01036254 0.01038729 0.01106581 0.01140976 1000 0.01061832 0.01024712 0.01144485 0.01178179 0.01222411 1000 0.01061832 0.01024712 0.01144485 0.01178179 0.01222411 1000
lala 1 1.2 1 first 6 1 19 4 2.64 0.879997491836548 1 0 1 1 0.009231026 0.01059136 0.01076099 1000 1000 1000 0.009231026 0.01059136 0.01076099 1000 1000 1000 0.01175554 0.01141005 0.01182615 0.01214575 0.01334414 1000 0.01175554 0.01141005 0.01182615 0.01214575 0.01334414 1000
lala 1 1.2 1 first 5 1 20 6 7.98 0.479997873306274 -1 1 1 1 0.01473427 0.01442271 0.01425427 1000 1000 1000 0.01473427 0.01442271 0.01425427 1000 1000 1000 0.009833962 0.01065246 0.01158614 0.01216479 0.01341823 1000 0.009833962 0.01065246 0.01158614 0.01216479 0.01341823 1000
lala 2 1.2 0 first 10 1 21 6 2.76 0.359997987747192 1 0 -1 1 0.01209866 0.01095357 0.01106434 1000 1000 1000 0.01209866 0.01095357 0.01106434 1000 1000 1000 0.007607178 0.007080674 0.007744867 0.008837841 0.009154841 1000 0.007607178 0.007080674 0.007744867 0.008837841 0.009154841 1000
lala 2 1.2 1 second 1 1 22 4 4.12 0.639997720718384 -1 1 1 1 0.009500853 0.009207914 0.009065493 0.008451684 0.009113092 1000 0.009500853 0.009207914 0.009065493 0.008451684 0.009113092 1000 0.01129186 0.01317523 0.0141432 0.01447752 0.01430725 1000 0.01129186 0.01317523 0.0141432 0.01447752 0.01430725 1000
lala 4 1.2 1 first 0 1 23 4 3.84 0.799997568130493 -1 0 1 1 0.01373596 0.01372628 0.01329113 1000 1000 1000 0.01373596 0.01372628 0.01329113 1000 1000 1000 0.009749729 0.01055909 0.009771437 0.009639305 0.01044845 1000 0.009749729 0.01055909 0.009771437 0.009639305 0.01044845 1000
lala 3 1.2 0 second 9 1 24 5 4.25 3.4799952507019 1 1 -1 1 0.01077621 0.01152105 0.01137446 0.01194013 0.012563 1000 0.01077621 0.01152105 0.01137446 0.01194013 0.012563 1000 0.01060906 0.009701668 0.009856611 0.01028458 0.01075749 1000 0.01060906 0.009701668 0.009856611 0.01028458 0.01075749 1000
lala 3 1.2 1 second 2 1 25 5 3.3 0.679997682571411 -1 0 1 1 0.002531792 0.001658378 0.004329104 0.007164355 0.009135952 1000 0.002531792 0.001658378 0.004329104 0.007164355 0.009135952 1000 0.005330956 0.005188341 0.00473696 0.005267711 0.004446072 1000 0.005330956 0.005188341 0.00473696 0.005267711 0.004446072 1000
lala 3 1.2 0 second 1 1 26 4 2.92 1.03999733924866 -1 1 -1 0 0.004818633 0.004592254 0.004367885 0.00412737 0.004525998 1000 0.004818633 0.004592254 0.004367885 0.00412737 0.004525998 1000 0.004130871 0.004919385 0.004964248 0.004678481 0.004985077 1000 0.004130871 0.004919385 0.004964248 0.004678481 0.004985077 1000
lala 4 1.2 0 second 1 1 27 4 4.12 1.25999712944031 -1 1 -1 0 0.004004421 0.003845816 0.003771724 0.003396445 0.003454632 1000 0.004004421 0.003845816 0.003771724 0.003396445 0.003454632 1000 0.001833612 0.002554432 0.002147857 0.001845415 0.0008133443 1000 0.001833612 0.002554432 0.002147857 0.001845415 0.0008133443 1000
lala 1 1.2 0 first 14 1 28 5 3.3 0.519997835159302 0 0 -1 1 0.00333401 0.003007998 0.0026035 1000 1000 1000 0.00333401 0.003007998 0.0026035 1000 1000 1000 0.002834507 0.001884725 0.001188865 0.00150596 0.002967173 1000 0.002834507 0.001884725 0.001188865 0.00150596 0.002967173 1000
lala 5 1.2 1 second 1 1 29 4 5.32 0.939997434616089 -1 1 1 1 0.00532183 0.005199101 0.005271419 0.004929525 0.005440903 1000 0.00532183 0.005199101 0.005271419 0.004929525 0.005440903 1000 0.004104762 0.004930557 0.004757347 0.004215237 0.003323631 1000 0.004104762 0.004930557 0.004757347 0.004215237 0.003323631 1000
lala 2 1.2 0 first 7 1 30 4 4.12 0.659997701644897 1 1 -1 0 0.003679616 0.004193581 0.003966124 1000 1000 1000 0.003679616 0.004193581 0.003966124 1000 1000 1000 0.002909302 0.00346643 0.003122556 0.003053092 0.002449944 1000 0.002909302 0.00346643 0.003122556 0.003053092 0.002449944 1000
lala 4 1.2 1 second 9 1 31 5 5.45 0.879997491836548 1 1 1 1 0.004323057 0.004562144 0.004680879 0.004281098 0.004235297 1000 0.004323057 0.004562144 0.004680879 0.004281098 0.004235297 1000 0.004255707 0.003927766 0.003571035 0.004356683 0.003863058 1000 0.004255707 0.003927766 0.003571035 0.004356683 0.003863058 1000
lala 1 1.2 1 second 13 1 32 4 5.32 2.51999616622925 0 1 1 1 0.002876047 0.003007587 0.003921803 0.003703814 0.003505602 1000 0.002876047 0.003007587 0.003921803 0.003703814 0.003505602 1000 0.002366778 0.002507114 0.002291621 0.002725912 0.002830136 1000 0.002366778 0.002507114 0.002291621 0.002725912 0.002830136 1000
lala 2 1.2 1 first 14 1 33 5 4.5 0.859997510910034 0 0 1 0 0.001884818 0.002110953 0.002391777 1000 1000 1000 0.001884818 0.002110953 0.002391777 1000 1000 1000 0.002856616 0.003648829 0.003606005 0.003508891 0.003599232 1000 0.002856616 0.003648829 0.003606005 0.003508891 0.003599232 1000
lala 5 1.2 0 first 0 1 34 4 2.64 0.819997549057007 -1 0 -1 0 0.003616292 0.003650518 0.004152189 1000 1000 1000 0.003616292 0.003650518 0.004152189 1000 1000 1000 0.006174332 0.00628248 0.00637713 0.006277005 0.006236421 1000 0.006174332 0.00628248 0.00637713 0.006277005 0.006236421 1000
lala 2 1.2 1 second 13 1 35 4 4.12 0.639997720718384 0 1 1 1 0.006336337 0.005367731 0.005823253 0.004964932 0.00552036 1000 0.006336337 0.005367731 0.005823253 0.004964932 0.00552036 1000 0.007063955 0.006957415 0.006594911 0.007189921 0.006937213 1000 0.007063955 0.006957415 0.006594911 0.007189921 0.006937213 1000
lala 3 1.2 1 second 3 1 36 5 4.25 1.17999720573425 -1 1 1 0 0.005792033 0.005126856 0.004865671 0.004237268 0.004439655 1000 0.005792033 0.005126856 0.004865671 0.004237268 0.004439655 1000 0.004237591 0.004709033 0.004817689 0.004876503 0.004771679 1000 0.004237591 0.004709033 0.004817689 0.004876503 0.004771679 1000
lala 3 1.2 0 second 16 1 37 6 3.96 1.57999682426453 0 0 -1 1 0.0074311 0.007657737 0.007008289 0.007305697 0.007500143 1000 0.0074311 0.007657737 0.007008289 0.007305697 0.007500143 1000 0.00725679 0.006892669 0.007406202 0.0071775 0.007773709 1000 0.00725679 0.006892669 0.007406202 0.0071775 0.007773709 1000
lala 1 1.2 1 second 17 1 38 6 7.98 0.779997587203979 0 1 1 1 0.007567913 0.00688789 0.007192704 0.008340115 0.008214041 1000 0.007567913 0.00688789 0.007192704 0.008340115 0.008214041 1000 0.009364251 0.009472653 0.009620093 0.009621422 0.01083247 1000 0.009364251 0.009472653 0.009620093 0.009621422 0.01083247 1000
lala 2 1.2 1 first 4 1 39 6 5.16 1.17999720573425 -1 0 1 1 0.01048131 0.01060721 0.009632942 1000 1000 1000 0.01048131 0.01060721 0.009632942 1000 1000 1000 0.01194538 0.01174347 0.01208353 0.01217466 0.01323645 1000 0.01194538 0.01174347 0.01208353 0.01217466 0.01323645 1000
lala 2 1.2 1 first 12 1 40 4 3.84 4.17999458312988 0 0 1 1 0.01599089 0.01514017 0.01584182 1000 1000 1000 0.01599089 0.01514017 0.01584182 1000 1000 1000 0.01940564 0.02049178 0.02269136 0.0224894 0.02208328 1000 0.01940564 0.02049178 0.02269136 0.0224894 0.02208328 1000
lala 2 1.2 0 second 6 1 41 4 1.44 0.879997491836548 1 0 -1 1 0.01362618 0.01351969 0.01268365 0.01118751 0.0108067 1000 0.01362618 0.01351969 0.01268365 0.01118751 0.0108067 1000 0.01311494 0.01316103 0.01260566 0.0130502 0.01360949 1000 0.01311494 0.01316103 0.01260566 0.0130502 0.01360949 1000
lala 4 1.2 0 first 16 1 42 6 5.16 0.879997491836548 0 0 -1 0 0.01185186 0.01351836 0.01389665 1000 1000 1000 0.01185186 0.01351836 0.01389665 1000 1000 1000 0.0158329 0.0153618 0.01621548 0.01611468 0.0165251 1000 0.0158329 0.0153618 0.01621548 0.01611468 0.0165251 1000
lala 2 1.2 1 second 5 1 43 6 6.780001 0.499997854232788 -1 1 1 0 0.01558086 0.01547179 0.0158338 0.01763897 0.0177779 1000 0.01558086 0.01547179 0.0158338 0.01763897 0.0177779 1000 0.01759984 0.01682184 0.01721388 0.0163049 0.01701764 1000 0.01759984 0.01682184 0.01721388 0.0163049 0.01701764 1000
lala 3 1.2 0 second 14 1 44 5 3.3 2.75999593734741 0 0 -1 1 0.01767091 0.01778971 0.01793851 0.01719275 0.0175406 1000 0.01767091 0.01778971 0.01793851 0.01719275 0.0175406 1000 0.01871797 0.01998917 0.02008507 0.01998811 0.01892414 1000 0.01871797 0.01998917 0.02008507 0.01998811 0.01892414 1000
lala 6 1.2 0 second 0 1 45 4 3.84 0.779997587203979 -1 0 -1 0 0.01812148 0.01774839 0.01732403 0.01661395 0.0168076 1000 0.01812148 0.01774839 0.01732403 0.01661395 0.0168076 1000 0.01768812 0.01862488 0.01869954 0.01870794 0.01826339 1000 0.01768812 0.01862488 0.01869954 0.01870794 0.01826339 1000
lala 2 1.2 1 first 8 1 46 5 4.5 0.379997968673706 1 0 1 0 0.02035708 0.01980292 0.01915253 1000 1000 1000 0.02035708 0.01980292 0.01915253 1000 1000 1000 0.01937591 0.01636246 0.01180662 0.0105515 0.01182222 1000 0.01937591 0.01636246 0.01180662 0.0105515 0.01182222 1000
lala 2 1.2 1 second 17 1 47 6 6.780001 0.939997434616089 0 1 1 0 0.008191735 0.008070431 0.007439864 0.008128748 0.007927764 1000 0.008191735 0.008070431 0.007439864 0.008128748 0.007927764 1000 0.007725433 0.007956484 0.008050778 0.00840707 0.008737542 1000 0.007725433 0.007956484 0.008050778 0.00840707 0.008737542 1000
lala 4 1.2 0 second 3 1 48 5 3.05 6.66001749038696 -1 1 -1 0 0.01063726 0.01079773 0.009966097 0.01005823 0.01015496 1000 0.01063726 0.01079773 0.009966097 0.01005823 0.01015496 1000 0.01107455 0.01054425 0.01140691 0.01189079 0.01312688 1000 0.01107455 0.01054425 0.01140691 0.01189079 0.01312688 1000
lala 1 1.2 1 second 15 1 49 5 6.65 0.679997682571411 0 1 1 1 0.02556168 0.02507705 0.02503759 0.02465173 0.0246868 1000 0.02556168 0.02507705 0.02503759 0.02465173 0.0246868 1000 0.02372949 0.02294428 0.0221682 0.02192359 0.0220351 1000 0.02372949 0.02294428 0.0221682 0.02192359 0.0220351 1000
lala 3 1.2 0 second 12 1 50 4 2.64 1.11999726295471 0 0 -1 1 -0.01847918 -0.01933451 -0.01792503 -0.01493319 -0.01463516 1000 -0.01847918 -0.01933451 -0.01792503 -0.01493319 -0.01463516 1000 -0.01762144 -0.01790779 -0.01835807 -0.01938633 -0.01975431 1000 -0.01762144 -0.01790779 -0.01835807 -0.01938633 -0.01975431 1000
lala 4 1.2 0 second 2 1 51 5 2.1 0.599997758865356 -1 0 -1 1 -0.02033809 -0.01960322 -0.01874751 -0.01844943 -0.01867446 1000 -0.02033809 -0.01960322 -0.01874751 -0.01844943 -0.01867446 1000 -0.02101968 -0.02117063 -0.02014018 -0.02006205 -0.02045595 1000 -0.02101968 -0.02117063 -0.02014018 -0.02006205 -0.02045595 1000
lala 3 1.2 0 first 5 1 52 6 5.580001 1.7199969291687 -1 1 -1 0 -0.02173812 -0.02153001 -0.02143177 1000 1000 1000 -0.02173812 -0.02153001 -0.02143177 1000 1000 1000 -0.02165522 -0.02112057 -0.02215381 -0.02219284 -0.02199721 1000 -0.02165522 -0.02112057 -0.02215381 -0.02219284 -0.02199721 1000
