trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.4400001 -2.5 0.45 0 -0.009317048 0.0009999621 0.004472665 0.002889964 0.001333134 1000 0.00917051 0.004613943 0.004224469 0.005524126 0.005098174 1000
2 0.6 3.5 0.65 0 -0.01058818 -0.01049366 -0.01033977 -0.01003882 -0.01027739 1000 0.003842681 0.004707085 0.005699225 0.005717127 0.006027276 1000
3 0.42 2.5 0.45 0 -0.01132562 -0.01092905 -0.01085468 -0.01081569 -0.01184352 1000 0.009836298 0.009421351 0.009313702 0.009158676 0.009551092 1000
4 0.6 -2.5 0.55 0 -0.01374481 -0.01364459 -0.01346242 -0.01315088 -0.01301119 1000 0.009229488 0.009316419 0.008957271 0.008765014 0.009218075 1000
5 0.54 2.5 0.55 0 -0.01563155 -0.01605479 -0.01596222 -0.01613557 -0.0168428 1000 0.009035388 0.00942689 0.01001011 0.009561869 0.009294173 1000
6 0.5000001 -3.5 0.45 0 -0.01841033 -0.01864082 -0.01876609 -0.01879648 -0.01887324 1000 0.0109896 0.01113953 0.01006707 0.01042787 0.01065533 1000
7 0.58 -3.5 0.65 0 -0.01934971 -0.0192292 -0.01936358 -0.02007687 -0.02058822 1000 0.009946 0.009596457 0.009424935 0.01007481 0.01106851 1000
8 0.7399998 3.5 0.45 0 -0.02211661 -0.02215514 -0.0216087 -0.02174699 -0.02183808 1000 0.01061298 0.01007342 0.01022048 0.01045955 0.01003345 1000
9 0.54 2.5 0.65 0 -0.01749736 -0.01657938 -0.01701282 -0.01700997 -0.01761346 1000 0.009633861 0.009140075 0.009019298 0.009310526 0.009248342 1000
10 0.56 -3.5 0.55 0 -0.01821147 -0.01833824 -0.01862777 -0.01867257 -0.0187426 1000 0.007631292 0.008148679 0.008368399 0.007791577 0.00766057 1000
11 0.6599999 3.5 0.55 0 -0.01800019 -0.01811619 -0.01798675 -0.01774462 -0.01762098 1000 0.007957838 0.00770341 0.006849454 0.007413531 0.007255848 1000
12 0.34 4.5 0.55 0 -0.01800882 -0.0179032 -0.01805161 -0.01820666 -0.01842645 1000 0.004552053 0.005305191 0.005706916 0.005431958 0.005607523 1000
13 0.54 -4.5 0.45 0 -0.01782029 -0.01688111 -0.01675277 -0.01681813 -0.01679759 1000 0.006060217 0.006383081 0.005998833 0.005570572 0.00555532 1000
14 0.36 -2.5 0.65 0 -0.01762513 -0.01696296 -0.01711617 -0.01669463 -0.01732596 1000 0.005938989 0.005510052 0.005547571 0.005837995 0.005787842 1000
15 0.6599999 -4.5 0.65 0 -0.01632848 -0.01637128 -0.01657082 -0.01652694 -0.01680989 1000 0.005935576 0.005244497 0.00476626 0.005186646 0.004863979 1000
16 0.7399998 4.5 0.45 0 -0.01526643 -0.01524864 -0.01532844 -0.01545269 -0.01554362 1000 0.004979971 0.005654307 0.005578191 0.005091582 0.00525982 1000
17 0.6599999 4.5 0.65 0 -0.01498553 -0.01533938 -0.01531323 -0.01522561 -0.01486871 1000 0.005242847 0.006010341 0.00641005 0.005695287 0.006306463 1000
18 0.6199999 -4.5 0.55 0 -0.01350445 -0.01301167 -0.01300039 -0.01315077 -0.01382347 1000 0.005951028 0.006247857 0.006861792 0.006168518 0.006029045 1000
