trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.52 -3.5 0.65 0 -0.01457612 -0.008726968 -0.00365214 0.00116944 0.001802648 1000 0.004685827 -0.0008379953 -0.007113048 -0.01279591 -0.01022696 1000
2 0.7399998 -4.5 0.55 0 -0.01915383 -0.01969982 -0.01942018 -0.02122421 -0.02054134 1000 -0.009966478 -0.01207242 -0.01535288 -0.01407407 -0.01064144 1000
3 0.32 -2.5 0.65 0 -0.02278279 -0.02275087 -0.02295573 -0.02303413 -0.02271985 1000 -0.0104002 -0.01012696 -0.009765389 -0.009405802 -0.009501162 1000
4 0.34 -2.5 0.45 0 -0.0208358 -0.02055723 -0.02083289 -0.0217696 -0.02188629 1000 -0.007446317 -0.007057513 -0.007892948 -0.008200062 -0.008219625 1000
5 0.58 2.5 0.65 0 -0.02229698 -0.02284744 -0.0226615 -0.02215999 -0.02226615 1000 -0.008050297 -0.007652422 -0.007240427 -0.00602548 -0.003725043 1000
6 0.54 -2.5 0.55 0 -0.0240102 -0.02376015 -0.02390733 -0.0239856 -0.02434025 1000 -0.001861586 -0.001782173 -0.002089292 -0.002118325 -0.002640126 1000
7 0.52 2.5 0.55 0 -0.02487443 -0.02527958 -0.02538522 -0.02475679 -0.02472292 1000 -0.003161918 -0.002430288 -0.001476771 -0.001443719 -0.001193379 1000
8 0.4400001 3.5 0.55 0 -0.02201475 -0.02250804 -0.02235682 -0.02258885 -0.02322136 1000 -0.003176182 -0.002594712 -0.002610729 -0.003197797 -0.002409864 1000
9 0.7599998 -3.5 0.55 0 -0.0225345 -0.01947249 -0.0168043 -0.01532069 -0.01493046 1000 0.0003641338 0.002923619 0.005501407 0.004868686 0.003397417 1000
10 0.34 -3.5 0.45 0 -0.02304607 -0.02484279 -0.02561332 -0.02661606 -0.02601675 1000 -0.001339489 -0.002847703 -0.002895121 -0.00260132 -0.002557252 1000
11 0.6399999 3.5 0.65 0 -0.02187839 -0.02191089 -0.0219235 -0.02175295 -0.02199112 1000 -0.001844325 -0.002129663 -0.002053616 -0.002246208 -0.002229235 1000
12 0.36 2.5 0.45 0 -0.02305855 -0.0230973 -0.02352033 -0.02346247 -0.02299831 1000 6.157731E-06 0.0002815475 4.788125E-05 0.0001170122 0.0003799982 1000
13 0.52 -4.5 0.45 0 -0.02183144 -0.02045258 -0.01936213 -0.01806272 -0.01842142 1000 0.002260495 0.0014 0.0009543675 0.000868727 0.000685829 1000
14 0.32 4.5 0.45 0 -0.02154537 -0.02219178 -0.0226835 -0.02201952 -0.02174823 1000 -0.0001981853 -0.0005321894 -0.0001671992 -0.0004042969 -7.258568E-05 1000
15 0.5000001 4.5 0.55 0 -0.02217719 -0.02241192 -0.02229563 -0.02214522 -0.02182226 1000 -0.0004134741 -0.0002655675 2.919673E-05 1.431506E-05 -0.0003760063 1000
16 0.4600001 -4.5 0.65 0 -0.02178003 -0.02140525 -0.02175649 -0.0218077 -0.02141248 1000 0.0002295926 -0.0001401541 0.0001199466 -0.0003821854 -0.001064836 1000
17 0.4600001 3.5 0.45 0 -0.02276884 -0.02254622 -0.02323963 -0.02297194 -0.02254319 1000 -0.002651747 -0.002873668 -0.002755566 -0.002321837 -0.001995565 1000
18 0.6399999 4.5 0.65 0 -0.02375744 -0.02294463 -0.02253697 -0.02216242 -0.02245095 1000 -0.00171365 -0.001606453 -0.001471786 -0.001243287 -0.001392744 1000
