trial Response Correct Target ReactionTime
1 2 1 2 1.02
2 2 1 2 0.8599997
3 2 1 2 0.6799999
4 2 1 2 0.8799997
5 2 1 2 1.02
6 2 1 2 0.7199998
7 2 1 2 0.8199998
8 2 1 2 0.8799997
9 1 1 1 1.239999
10 1 1 1 0.7599998
11 1 1 1 0.7199998
12 1 1 1 0.9199997
13 1 1 1 0.7599998
14 2 1 2 0.8399997
15 2 1 2 0.8199998
16 1 1 1 0.7799998
17 1 1 1 0.8399997
18 1 1 1 0.7399998
19 1 1 1 0.8399997
20 1 1 1 0.7999998
20 1 1 1 0.7999998
